cell_idx,time_s,from_sat,to_sat,snr_before_dB,snr_after_dB,snr_gain_dB
0,831,44,13,-1.8825,1.1348,3.0173
0,1000,13,54,2.6449,5.6319,2.987
0,1052,54,13,-2.8963,0.0228,2.9191000000000003
0,1127,13,54,4.6148,7.617,3.0022
1,837,44,13,-1.9268,1.0645,2.9913
1,1129,13,54,4.0789,7.0597,2.9808000000000003
2,837,44,13,-1.8912,1.0677,2.9589
2,1112,13,54,3.9952,7.0917,3.0965000000000003
3,837,44,13,-1.906,1.0774,2.9833999999999996
3,1092,13,54,2.1607,5.399,3.2383
4,835,44,13,-1.9684,1.0664,3.0347999999999997
4,1106,13,54,2.3107,5.3744,3.0636999999999994
5,831,44,13,-1.6446,1.3434,2.988
5,1083,13,54,5.6405,8.7251,3.084599999999999
6,835,44,13,-1.6844,1.3476,3.032
6,1106,13,54,5.0705,8.0974,3.0269000000000004
7,838,44,13,-1.7346,1.2797,3.0143
7,1082,13,54,5.2494,8.3297,3.080300000000001
8,840,44,13,-1.8817,1.1403,3.0220000000000002
8,1068,13,54,4.7685,7.7789,3.0103999999999997
9,836,44,13,-1.8051,1.1739,2.979
9,1073,13,54,4.5189,7.5668,3.0478999999999994
10,836,44,13,-1.6347,1.3916,3.0263
10,1090,13,54,5.8621,8.8298,2.9677000000000007
11,834,44,13,-1.5084,1.4529,2.9613
11,1081,13,54,5.9781,8.9665,2.9883999999999995
12,835,44,13,-1.4274,1.5533,2.9806999999999997
12,1074,13,54,6.083,9.088,3.004999999999999
13,836,44,13,-1.5811,1.4068,2.9879
13,1077,13,54,5.7238,8.7111,2.9873000000000003
14,839,44,13,-1.7375,1.2314,2.9689
14,1077,13,54,5.6533,8.6729,3.0196000000000005
15,834,44,13,-1.3665,1.6559,3.0224
15,1079,13,54,4.5908,7.6478,3.0570000000000004
16,839,44,13,-1.5037,1.5313,3.035
16,1073,13,54,4.8716,7.951,3.0793999999999997
17,838,44,13,-1.389,1.588,2.9770000000000003
17,1086,13,54,5.1744,8.2461,3.0717
18,837,44,13,-1.4071,1.595,3.0021
18,1102,13,54,4.4084,7.4477,3.0393
19,835,44,13,-1.3996,1.562,2.9616
19,1090,13,54,4.9762,8.0135,3.0373
20,832,44,13,-1.1296,1.8851,3.0147
20,1126,13,54,2.5176,5.636,3.1184000000000003
21,836,44,13,-1.1711,1.8035,2.9746
21,1106,13,54,3.3127,6.38,3.0673
22,837,44,13,-1.2038,1.7818,2.9856
22,1122,13,54,3.9301,6.9919,3.0618000000000003
23,840,44,13,-1.3325,1.645,2.9775
23,1026,13,54,1.4994,4.4337,2.9343
23,1058,54,13,-2.6283,0.2173,2.8455999999999997
23,1137,13,54,3.0751,6.1228,3.0477
24,839,44,13,-1.4014,1.6266,3.028
24,1006,13,54,1.6828,4.7203,3.0374999999999996
24,1059,54,13,-2.2598,0.6841,2.9438999999999997
24,1137,13,54,3.2138,6.317,3.1032
