constellation,mode,city,elev,coverage_greedy_pct,coverage_mrc_pct,mean_snr_db,p5_snr_db,hard_cell_pct,window_s,n_ticks_with_sat
Iridium,BH,Helsinki,≥5°,100.0,100.0,18.3,15.3,10.3,6010,6010
Iridium,BH,Helsinki,≥25°,100.0,100.0,19.4,17.3,0.0,4788,2673
Iridium,BH,Helsinki,≥37°,100.0,100.0,21.0,19.6,0.0,3170,1132
Iridium,BH,Tokyo,≥5°,100.0,100.0,17.2,11.0,13.6,6010,5788
Iridium,BH,Tokyo,≥25°,100.0,100.0,19.8,17.4,0.0,3314,1983
Iridium,BH,Tokyo,≥37°,100.0,100.0,21.2,19.7,0.0,2245,1020
Iridium,BH,Singapore,≥5°,100.0,100.0,12.7,9.9,19.3,1918,1717
Iridium,BH,Singapore,≥25°,nan,nan,nan,nan,nan,0,0
Iridium,BH,Singapore,≥37°,nan,nan,nan,nan,nan,0,0
Starlink,BH,Helsinki,≥25°,100.0,100.0,21.7,18.4,0.0,4482,2543
Starlink,BH,Helsinki,≥37°,100.0,100.0,23.0,20.6,0.0,119,119
Starlink,BH,Tokyo,≥25°,100.0,100.0,24.1,23.0,0.0,6010,6010
Starlink,BH,Tokyo,≥37°,100.0,100.0,24.1,23.0,0.0,6010,6010
Starlink,BH,Singapore,≥25°,100.0,100.0,23.5,21.8,0.0,6010,6010
Starlink,BH,Singapore,≥37°,100.0,100.0,23.5,21.8,0.0,6010,6010
Starlink,25-beam,Helsinki,≥5°,100.0,100.0,7.0,5.3,86.5,6010,6010
Starlink,25-beam,Helsinki,≥25°,100.0,100.0,5.2,5.1,0.0,6010,6010
Starlink,25-beam,Helsinki,≥37°,nan,nan,nan,nan,nan,0,0
Starlink,25-beam,Tokyo,≥5°,100.0,100.0,13.1,9.5,78.1,6010,6010
Starlink,25-beam,Tokyo,≥25°,100.0,100.0,10.1,9.0,0.6,6010,6010
Starlink,25-beam,Tokyo,≥37°,100.0,100.0,10.1,9.0,0.0,6010,6010
Starlink,25-beam,Singapore,≥5°,100.0,100.0,12.2,8.8,49.7,6010,6010
Starlink,25-beam,Singapore,≥25°,100.0,100.0,9.5,7.8,1.0,6010,6010
Starlink,25-beam,Singapore,≥37°,100.0,100.0,9.5,7.8,0.0,6010,6010
