cell_idx,time_s,from_sat,to_sat,snr_before_dB,snr_after_dB,snr_gain_dB
0,33,15,45,-30.532,-31.9113,-1.3793000000000006
0,34,45,15,-31.9113,-29.9218,1.9894999999999996
0,47,15,45,-29.7399,-30.3879,-0.6479999999999997
0,50,45,15,-31.0416,-31.4729,-0.43130000000000024
0,61,15,45,-26.8396,-26.3518,0.4878
0,145,45,15,-29.5381,-30.109,-0.5709000000000017
0,148,15,45,-30.5087,-29.7411,0.7676000000000016
0,233,45,15,-31.4176,-31.4316,-0.013999999999999346
0,271,15,44,-32.1472,-32.2303,-0.08310000000000173
0,340,44,45,-34.0153,-34.0763,-0.06099999999999994
0,368,45,44,-35.608,-35.3559,0.25209999999999866
0,422,44,14,-34.5565,-34.7843,-0.227800000000002
0,435,14,44,-33.7601,-33.5727,0.18740000000000379
0,450,44,14,-32.4749,-32.4263,0.04860000000000042
0,491,14,44,-35.7589,-36.0992,-0.34030000000000626
0,492,44,14,-36.0992,-34.4694,1.629800000000003
0,564,14,44,-22.4397,-22.3706,0.06909999999999883
0,566,44,14,-23.4861,-25.1931,-1.7070000000000007
0,580,14,44,-23.2018,-22.0001,1.2016999999999989
0,583,44,14,-21.0602,-23.9973,-2.937100000000001
0,585,14,44,-24.1466,-16.5046,7.6419999999999995
0,607,44,14,-25.0194,-25.1189,-0.09949999999999903
0,691,14,44,-32.5399,-32.1111,0.4288000000000025
0,713,44,14,-32.5927,-32.7348,-0.14209999999999923
0,730,14,44,-31.2797,-31.0784,0.2012999999999998
0,761,44,14,-30.9974,-31.1385,-0.14110000000000156
0,801,14,54,-31.9672,-32.0003,-0.03310000000000457
0,881,54,44,-34.4893,-34.6582,-0.16890000000000072
0,894,44,54,-35.2314,-35.0752,0.15619999999999834
0,1041,54,13,-27.6003,-27.5967,0.003600000000002268
0,1044,13,54,-26.2625,-25.7377,0.524799999999999
0,1049,54,13,-23.4633,-23.8964,-0.4330999999999996
0,1055,13,54,-23.3324,-22.431,0.9013999999999989
0,1061,54,13,-23.0831,-23.4186,-0.3354999999999997
0,1062,13,54,-23.4186,-23.5983,-0.17969999999999686
0,1119,54,13,-23.6233,-24.5186,-0.8952999999999989
0,1321,13,12,-31.7203,-35.6788,-3.958500000000001
0,1330,12,53,-36.1247,-31.8347,4.289999999999996
0,1425,53,54,-35.2935,-35.364,-0.07049999999999557
0,1426,54,53,-35.364,-35.1828,0.18119999999999692
0,1621,53,12,-24.7496,-24.8313,-0.08169999999999789
0,1841,12,11,-31.6499,-35.4356,-3.785700000000002
0,1864,11,53,-36.1671,-36.1512,0.015899999999994918
0,1870,53,52,-35.4,-31.6327,3.7672999999999988
0,2143,52,11,-29.0883,-29.5687,-0.4803999999999995
0,2361,11,21,-31.7354,-35.5356,-3.800200000000004
0,2396,21,52,-35.8354,-35.8056,0.029800000000001603
0,2410,52,51,-34.7439,-31.6261,3.1177999999999955
0,2651,51,21,-28.7521,-28.7945,-0.04240000000000066
0,2665,21,51,-28.627,-28.4017,0.22529999999999717
0,2675,51,21,-28.0537,-28.1342,-0.08050000000000068
0,2871,21,51,-31.6631,-37.6209,-5.957799999999999
0,2880,51,20,-38.5223,-36.2659,2.2563999999999993
0,2930,20,51,-35.5111,-35.4724,0.038699999999998624
0,2950,51,50,-34.8605,-31.7593,3.101200000000002
0,3175,50,20,-32.3931,-32.4666,-0.07350000000000279
0,3180,20,50,-32.5313,-32.4783,0.05300000000000438
0,3240,50,20,-32.5533,-32.5465,0.006799999999998363
0,3381,20,50,-31.7185,-37.9656,-6.247100000000003
0,3430,50,19,-38.2015,-36.4299,1.7715999999999994
0,3459,19,50,-35.7413,-35.7097,0.03160000000000451
0,3510,50,49,-35.3575,-31.5597,3.7978000000000023
1,68,15,45,-26.4789,-26.4808,-0.0018999999999991246
1,77,45,15,-23.3792,-24.5971,-1.2179000000000002
1,81,15,45,-24.5644,-23.0259,1.538499999999999
1,125,45,15,-26.4182,-26.8147,-0.39649999999999963
1,126,15,45,-26.8147,-25.5055,1.309199999999997
1,147,45,15,-27.4192,-28.2956,-0.8764000000000003
1,148,15,45,-28.2956,-28.1262,0.16939999999999955
1,239,45,15,-30.7442,-30.8269,-0.08269999999999911
1,267,15,44,-31.5951,-31.6068,-0.011700000000001154
1,306,44,14,-30.6986,-30.6795,0.01909999999999812
1,348,14,44,-31.9154,-32.1379,-0.22250000000000014
1,356,44,14,-33.3281,-33.372,-0.043900000000000716
1,377,14,44,-29.9205,-29.9633,-0.04279999999999973
1,517,44,14,-23.385,-23.3687,0.01630000000000109
1,524,14,44,-23.0771,-23.2066,-0.12950000000000017
1,528,44,14,-25.4632,-28.602,-3.1388
1,546,14,44,-25.5341,-24.491,1.043099999999999
1,549,44,14,-23.1032,-22.7417,0.3614999999999995
1,561,14,44,-22.1795,-22.0927,0.08680000000000021
1,649,44,14,-25.3246,-26.7815,-1.456900000000001
1,650,14,44,-26.7815,-26.1203,0.6612000000000009
1,664,44,14,-26.3811,-27.3789,-0.9978000000000016
1,666,14,44,-27.3955,-26.9212,0.4742999999999995
1,717,44,14,-30.1906,-30.7854,-0.5947999999999993
1,720,14,44,-30.6777,-30.3585,0.31920000000000215
1,774,44,14,-31.0069,-31.102,-0.09509999999999863
1,795,14,54,-31.6298,-31.6203,0.009499999999999176
1,857,54,13,-30.4538,-30.4202,0.03359999999999985
1,892,13,54,-33.7448,-33.4087,0.33609999999999474
1,1102,54,13,-27.7437,-27.2369,0.5068000000000019
1,1108,13,54,-24.9726,-24.7107,0.2619000000000007
1,1110,54,13,-24.627,-24.5721,0.05489999999999995
1,1115,13,54,-24.5537,-24.3979,0.15579999999999927
1,1122,54,13,-24.5107,-24.8251,-0.3143999999999991
1,1136,13,54,-27.5935,-28.1,-0.5065000000000026
1,1139,54,13,-29.3594,-30.1149,-0.7554999999999978
1,1141,13,54,-30.9474,-30.17,0.7773999999999965
1,1143,54,13,-29.6199,-29.4,0.21990000000000265
1,1187,13,54,-27.4901,-27.0066,0.4835000000000029
1,1192,54,13,-27.7724,-28.0753,-0.3028999999999975
1,1199,13,54,-29.0172,-28.5957,0.4214999999999982
1,1246,54,13,-30.1333,-30.3327,-0.1994000000000007
1,1256,13,54,-30.1591,-29.8697,0.289399999999997
1,1304,54,13,-31.1034,-31.2321,-0.12869999999999848
1,1321,13,12,-31.7038,-32.8532,-1.1494
1,1330,12,53,-32.9861,-31.6459,1.3401999999999994
1,1411,53,12,-30.9378,-30.9708,-0.03300000000000125
1,1433,12,53,-32.0433,-31.8844,0.1589000000000027
1,1609,53,12,-25.5357,-26.5519,-1.0162000000000013
1,1615,12,53,-26.3285,-26.2852,0.04329999999999856
1,1618,53,12,-26.0194,-26.1302,-0.11079999999999757
1,1644,12,53,-31.4176,-31.5906,-0.17299999999999827
1,1646,53,12,-31.4087,-31.1419,0.2667999999999999
1,1725,12,53,-31.6416,-31.6128,0.02880000000000038
1,1737,53,12,-33.1646,-32.9715,0.19310000000000116
1,1746,12,53,-31.6406,-31.4873,0.153299999999998
1,1767,53,12,-30.1282,-30.2162,-0.08800000000000097
1,1784,12,53,-30.2159,-30.0881,0.12780000000000058
1,1830,53,12,-31.2937,-31.4541,-0.1603999999999992
1,1841,12,11,-31.694,-33.36,-1.6660000000000004
1,1865,11,53,-33.2837,-33.2473,0.03640000000000043
1,1870,53,52,-32.9176,-31.6081,1.3094999999999999
1,1962,52,11,-32.0032,-32.0836,-0.08039999999999736
1,1977,11,52,-31.9703,-31.724,0.24630000000000152
1,2146,52,11,-29.346,-29.5756,-0.22960000000000136
1,2312,11,52,-30.5818,-30.4925,0.08930000000000149
1,2351,52,11,-31.5132,-31.6007,-0.08749999999999858
1,2361,11,52,-31.7763,-33.45,-1.6737000000000037
1,2364,52,21,-33.9303,-34.0413,-0.1109999999999971
1,2390,21,52,-33.5863,-33.4893,0.09700000000000131
1,2410,52,51,-32.3812,-31.6782,0.7029999999999994
1,2514,51,21,-33.1703,-33.3719,-0.2015999999999991
1,2521,21,51,-32.9301,-32.8217,0.10840000000000316
1,2602,51,21,-30.766,-30.9735,-0.20750000000000313
1,2606,21,51,-30.8733,-30.6462,0.22710000000000008
1,2653,51,21,-29.4849,-29.8313,-0.34639999999999915
1,2831,21,51,-30.8474,-30.7891,0.05829999999999913
1,2862,51,21,-31.5443,-31.5855,-0.0411999999999999
1,2871,21,51,-31.7644,-32.4675,-0.7031000000000027
1,2885,51,20,-34.9225,-34.9846,-0.06210000000000093
1,2907,20,51,-34.2828,-34.2502,0.03260000000000218
1,2950,51,50,-32.6735,-31.8071,0.8663999999999987
1,3181,50,20,-33.8598,-34.1025,-0.24269999999999925
1,3190,20,50,-34.6337,-34.4229,0.210799999999999
1,3237,50,20,-33.2491,-33.2264,0.022700000000000387
1,3381,20,50,-31.7951,-32.9485,-1.1534000000000013
1,3506,50,19,-33.782,-33.8159,-0.033900000000002706
1,3510,19,49,-33.8117,-31.6378,2.1739000000000033
2,6,15,45,-24.2356,-23.9747,0.260900000000003
2,7,45,15,-23.9747,-23.1771,0.7975999999999992
2,98,15,45,-27.5495,-27.094,0.45549999999999713
2,109,45,15,-26.2056,-26.9731,-0.7674999999999983
2,112,15,45,-26.6485,-25.6423,1.0061999999999998
2,126,45,15,-26.3426,-26.8225,-0.47990000000000066
