time_s,cell_idx,snr_mrc_dB,n_sats
0.000000,0,-24.8504,2
0.000000,1,-17.7992,2
0.000000,2,-19.1212,2
0.000000,3,-19.4657,2
0.000000,4,-17.8412,2
0.000000,5,-23.8831,2
0.000000,6,-17.6459,2
0.000000,7,-16.8650,2
0.000000,8,-19.1300,2
0.000000,9,-25.2390,2
0.000000,10,-31.1968,2
0.000000,11,-23.1145,2
0.000000,12,-16.4064,2
0.000000,13,-17.5463,2
0.000000,14,-29.8307,2
0.000000,15,-22.0017,2
0.000000,16,-19.0731,2
0.000000,17,-17.9976,2
0.000000,18,-19.7963,2
0.000000,19,-28.6894,2
0.000000,20,-20.8820,2
0.000000,21,-20.3019,2
0.000000,22,-22.0614,2
0.000000,23,-21.5649,2
0.000000,24,-22.0902,2
1.000000,0,-22.1020,2
1.000000,1,-17.6024,2
1.000000,2,-19.5434,2
1.000000,3,-18.4967,2
1.000000,4,-17.7293,2
1.000000,5,-23.7849,2
1.000000,6,-17.8766,2
1.000000,7,-17.9559,2
1.000000,8,-19.9594,2
1.000000,9,-23.0050,2
1.000000,10,-32.6075,2
1.000000,11,-20.7480,2
1.000000,12,-16.0941,2
1.000000,13,-17.4393,2
1.000000,14,-31.6167,2
1.000000,15,-22.1134,2
1.000000,16,-19.2703,2
1.000000,17,-18.7460,2
1.000000,18,-20.8716,2
1.000000,19,-28.9319,2
1.000000,20,-20.4952,2
1.000000,21,-20.3236,2
1.000000,22,-22.9467,2
1.000000,23,-20.5900,2
1.000000,24,-21.7437,2
2.000000,0,-20.8385,2
2.000000,1,-17.7107,2
2.000000,2,-19.9035,2
2.000000,3,-18.2158,2
2.000000,4,-17.8004,2
2.000000,5,-24.5186,2
2.000000,6,-18.8657,2
2.000000,7,-18.0456,2
2.000000,8,-21.3310,2
2.000000,9,-21.6329,2
2.000000,10,-34.1673,2
2.000000,11,-19.4153,2
2.000000,12,-16.1494,2
2.000000,13,-17.8600,2
2.000000,14,-33.9468,2
2.000000,15,-22.2632,2
2.000000,16,-19.9222,2
2.000000,17,-18.6361,2
2.000000,18,-22.4047,2
2.000000,19,-27.8691,2
2.000000,20,-20.3095,2
2.000000,21,-20.3001,2
2.000000,22,-22.2903,2
2.000000,23,-20.1605,2
2.000000,24,-21.3249,2
3.000000,0,-20.2972,2
3.000000,1,-17.7469,2
3.000000,2,-20.1220,2
3.000000,3,-18.0069,2
3.000000,4,-17.8712,2
3.000000,5,-26.0455,2
3.000000,6,-20.7123,2
3.000000,7,-17.5072,2
3.000000,8,-20.5995,2
3.000000,9,-20.9177,2
3.000000,10,-34.6680,2
3.000000,11,-18.6812,2
3.000000,12,-16.1395,2
3.000000,13,-18.3916,2
3.000000,14,-36.3911,2
3.000000,15,-22.4650,2
3.000000,16,-21.1825,2
3.000000,17,-18.6709,2
3.000000,18,-22.2617,2
3.000000,19,-27.0618,2
3.000000,20,-20.2217,2
3.000000,21,-20.4088,2
3.000000,22,-21.8725,2
3.000000,23,-20.2000,2
3.000000,24,-21.4087,2
4.000000,0,-19.8392,2
4.000000,1,-17.7689,2
4.000000,2,-20.6063,2
4.000000,3,-17.8479,2
4.000000,4,-18.0991,2
4.000000,5,-27.6650,2
4.000000,6,-21.5730,2
4.000000,7,-17.4919,2
4.000000,8,-18.6940,2
4.000000,9,-20.2337,2
4.000000,10,-33.1507,2
4.000000,11,-18.1211,2
4.000000,12,-16.1237,2
4.000000,13,-19.0280,2
4.000000,14,-34.6176,2
4.000000,15,-22.6312,2
4.000000,16,-22.9419,2
4.000000,17,-18.9314,2
4.000000,18,-20.7547,2
4.000000,19,-26.3689,2
4.000000,20,-20.2033,2
4.000000,21,-20.6671,2
4.000000,22,-21.6937,2
4.000000,23,-20.1843,2
4.000000,24,-21.8893,2
5.000000,0,-19.8937,2
5.000000,1,-18.0803,2
5.000000,2,-21.4838,2
5.000000,3,-17.9633,2
5.000000,4,-19.1616,2
5.000000,5,-29.2321,2
5.000000,6,-20.0036,2
5.000000,7,-18.0027,2
5.000000,8,-17.5857,2
5.000000,9,-19.6373,2
5.000000,10,-31.1590,2
5.000000,11,-17.7209,2
5.000000,12,-16.1152,2
5.000000,13,-20.1803,2
5.000000,14,-32.7435,2
5.000000,15,-23.1479,2
5.000000,16,-21.8274,2
5.000000,17,-18.8185,2
5.000000,18,-19.9440,2
5.000000,19,-25.6849,2
5.000000,20,-20.2471,2
5.000000,21,-20.9013,2
5.000000,22,-21.4922,2
5.000000,23,-20.1411,2
5.000000,24,-22.2747,2
6.000000,0,-20.8599,2
6.000000,1,-19.1310,2
6.000000,2,-21.7303,2
6.000000,3,-18.1549,2
6.000000,4,-21.3241,2
6.000000,5,-29.4019,2
6.000000,6,-19.1663,2
6.000000,7,-17.9528,2
6.000000,8,-17.1481,2
6.000000,9,-19.6358,2
6.000000,10,-29.6015,2
6.000000,11,-17.6260,2
6.000000,12,-16.3392,2
6.000000,13,-22.2304,2
6.000000,14,-30.7138,2
6.000000,15,-24.1851,2
6.000000,16,-20.5839,2
6.000000,17,-18.0049,2
6.000000,18,-19.7164,2
6.000000,19,-25.4501,2
6.000000,20,-20.2010,2
6.000000,21,-21.5350,2
6.000000,22,-20.8583,2
