time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
170.000000,0,5.6846,193.4308,16.6650,-35.9238,-35.9349
170.000000,1,5.6846,193.4674,17.5889,-35.0365,-35.0537
170.000000,2,5.6846,193.5094,17.6488,-35.0186,-35.0392
170.000000,3,5.6846,193.5567,17.6479,-35.0669,-35.0865
170.000000,4,5.6846,193.6097,17.4086,-35.3592,-35.3740
170.000000,5,5.6846,193.1662,16.8732,-35.4510,-35.4637
170.000000,6,5.6846,193.2012,17.6546,-34.7047,-34.7237
170.000000,7,5.6846,193.2412,17.6890,-34.7102,-34.7323
170.000000,8,5.6846,193.2861,17.6589,-34.7853,-34.8055
170.000000,9,5.6846,193.3363,17.2320,-35.2623,-35.2769
170.000000,10,5.6846,192.9177,17.0589,-35.0168,-35.0313
170.000000,11,5.6846,192.9515,17.6929,-34.4167,-34.4376
170.000000,12,5.6846,192.9898,17.6971,-34.4507,-34.4742
170.000000,13,5.6846,193.0328,17.6325,-34.5584,-34.5790
170.000000,14,5.6846,193.0807,17.0259,-35.2128,-35.2269
170.000000,15,5.6846,192.6828,17.2207,-34.6201,-34.6365
170.000000,16,5.6846,192.7155,17.7017,-34.1719,-34.1947
170.000000,17,5.6846,192.7525,17.6706,-34.2400,-34.2646
170.000000,18,5.6846,192.7940,17.5714,-34.3806,-34.4014
170.000000,19,5.6846,192.8399,16.8411,-35.1569,-35.1703
170.000000,20,5.6846,192.4593,17.3571,-34.2602,-34.2786
170.000000,21,5.6846,192.4911,17.6788,-33.9704,-33.9951
170.000000,22,5.6846,192.5271,17.6904,-33.9947,-34.0203
170.000000,23,5.6846,192.5672,17.5519,-34.1734,-34.1939
170.000000,24,5.6846,192.6116,16.6011,-35.1686,-35.1810
171.000000,0,5.7620,193.3657,16.6569,-35.8669,-35.8781
171.000000,1,5.7620,193.4020,17.5906,-34.9694,-34.9867
171.000000,2,5.7620,193.4434,17.6484,-34.9530,-34.9739
171.000000,3,5.7620,193.4901,17.6444,-35.0038,-35.0237
171.000000,4,5.7620,193.5424,17.4022,-35.2983,-35.3133
171.000000,5,5.7620,193.1049,16.8665,-35.3964,-35.4092
