# satellite_orbit.csv ¡X generated by run_sgp4.py
# coord_note: sat_lat_deg is GEODETIC (WGS72), converted from ephem geocentric
# coord_note: sat_alt_m   is height above WGS72 ellipsoid
# coord_note: elevation_deg/azimuth_deg are from ephem observer (correct)
# satellite : iridium-75 0
# tle_file  : 2D/data/tle/iridium.txt
# start_utc : 2000/01/01 00:00:00
# observer  : lat=35.676 lon=139.65
# duration_s: 770.0
# step_ms   : 100.0
# rows      : 7701
time_s,sat_lat_deg,sat_lon_deg,sat_alt_m,elevation_deg,azimuth_deg
0.0,-0.122641302,-99.975152278,632459.66,-55.37067,71.05954
0.1,-0.11645182,-99.975179599,632458.838,-55.368553,71.054376
0.2,-0.110262331,-99.97521375,632458.016,-55.366435,71.049219
0.3,-0.104072843,-99.9752479,632457.195,-55.364322,71.044062
0.4,-0.097883387,-99.975275221,632456.374,-55.362204,71.038899
0.5,-0.091693899,-99.975309372,632455.554,-55.360087,71.033742
0.6,-0.085504403,-99.975336693,632454.735,-55.357969,71.028585
0.7,-0.079314908,-99.975370844,632453.916,-55.355852,71.023428
0.8,-0.073125412,-99.975398165,632453.097,-55.353735,71.018265
0.9,-0.066935916,-99.975432316,632452.279,-55.351617,71.013108
1.0,-0.060746414,-99.975459636,632451.461,-55.3495,71.007951
1.1,-0.054556952,-99.975493787,632450.644,-55.347383,71.002794
1.2,-0.048367453,-99.975521108,632449.828,-55.345265,70.997638
1.3,-0.042177947,-99.975555259,632449.011,-55.343148,70.992481
1.4,-0.035988441,-99.97558258,632448.258,-55.341031,70.987324
1.5,-0.029798935,-99.975616731,632447.443,-55.33891,70.982174
1.6,-0.023609428,-99.975650882,632446.629,-55.336792,70.977017
1.7,-0.017419918,-99.975678202,632445.814,-55.334675,70.97186
1.8,-0.011230408,-99.975712353,632445.001,-55.332558,70.966704
1.9,-0.005040934,-99.975739674,632444.188,-55.330437,70.961554
2.0,0.001148579,-99.975773825,632443.375,-55.32832,70.956397
2.1,0.007338095,-99.975801146,632442.563,-55.326202,70.951247
2.2,0.013527611,-99.975835297,632441.814,-55.324081,70.94609
2.3,0.019717129,-99.975862617,632441.003,-55.321964,70.94094
2.4,0.025906648,-99.975896768,632440.192,-55.319843,70.935783
2.5,0.032096171,-99.975924089,632439.382,-55.317726,70.930633
2.6,0.038285653,-99.97595824,632438.572,-55.315609,70.925477
2.7,0.044475176,-99.975992391,632437.763,-55.313488,70.920327
2.8,0.050664702,-99.976019712,632437.017,-55.311367,70.915177
2.9,0.056854228,-99.976053863,632436.208,-55.30925,70.910027
3.0,0.063043757,-99.976081184,632435.401,-55.307129,70.904877
3.1,0.069233287,-99.976115334,632434.593,-55.305012,70.899727
3.2,0.075422816,-99.976142655,632433.849,-55.302891,70.894577
3.3,0.081612312,-99.976176806,632433.043,-55.30077,70.889427
3.4,0.087801841,-99.976204127,632432.237,-55.298653,70.884277
3.5,0.093991377,-99.976238278,632431.432,-55.296532,70.879127
3.6,0.100180913,-99.976265599,632430.627,-55.294411,70.873977
3.7,0.106370449,-99.97629975,632429.886,-55.29229,70.868827
3.8,0.112559992,-99.976333901,632429.082,-55.29017,70.863677
3.9,0.118749528,-99.976361221,632428.279,-55.288049,70.858534
4.0,0.124939077,-99.976395372,632427.538,-55.285931,70.853384
4.1,0.131128573,-99.976422693,632426.736,-55.283811,70.848234
4.2,0.137318122,-99.976456844,632425.934,-55.28169,70.843091
4.3,0.143507672,-99.976484165,632425.133,-55.279569,70.837941
4.4,0.149697221,-99.976518316,632424.395,-55.277448,70.832798
4.5,0.15588677,-99.976545636,632423.595,-55.275328,70.827648
4.6,0.162076319,-99.976579787,632422.795,-55.273207,70.822505
4.7,0.168265868,-99.976607108,632422.058,-55.271083,70.817362
4.8,0.174455377,-99.976641259,632421.259,-55.268962,70.812212
4.9,0.18064494,-99.97666858,632420.461,-55.266841,70.807068
5.0,0.186834489,-99.976702731,632419.726,-55.26472,70.801925
5.1,0.193024051,-99.976736882,632418.928,-55.2626,70.796782
5.2,0.1992136,-99.976764202,632418.132,-55.260479,70.791639
5.3,0.205403162,-99.976798353,632417.398,-55.258355,70.786496
5.4,0.211592725,-99.976825674,632416.602,-55.256234,70.781353
5.5,0.217782246,-99.976859825,632415.869,-55.254113,70.77621
5.6,0.223971809,-99.976887146,632415.074,-55.251989,70.771067
5.7,0.230161371,-99.976921297,632414.28,-55.249868,70.765923
5.8,0.236350933,-99.976948618,632413.549,-55.247747,70.76078
5.9,0.242540522,-99.976982769,632412.755,-55.245623,70.755637
6.0,0.248730083,-99.977010089,632412.025,-55.243502,70.750494
6.1,0.254919645,-99.97704424,632411.233,-55.241378,70.745358
6.2,0.26110918,-99.977078391,632410.441,-55.239257,70.740215
6.3,0.267298769,-99.977105712,632409.712,-55.237133,70.735078
6.4,0.27348833,-99.977139863,632408.921,-55.235009,70.729935
6.5,0.279677919,-99.977167184,632408.193,-55.232888,70.724799
6.6,0.28586748,-99.977201335,632407.403,-55.230764,70.719656
6.7,0.292057069,-99.977228655,632406.676,-55.228643,70.714519
6.8,0.298246657,-99.977262806,632405.887,-55.226519,70.709376
6.9,0.304436218,-99.977290127,632405.162,-55.224395,70.70424
7.0,0.310625779,-99.977324278,632404.374,-55.222271,70.699104
7.1,0.31681534,-99.977351599,632403.649,-55.22015,70.693961
7.2,0.323004928,-99.97738575,632402.862,-55.218026,70.688824
7.3,0.329194516,-99.97741307,632402.138,-55.215902,70.683688
7.4,0.335384104,-99.977447221,632401.352,-55.213777,70.678552
7.5,0.341573691,-99.977481372,632400.629,-55.211653,70.673415
7.6,0.347763279,-99.977508693,632399.844,-55.209529,70.668279
7.7,0.35395284,-99.977542844,632399.122,-55.207405,70.663143
7.8,0.360142427,-99.977570165,632398.338,-55.205281,70.658006
7.9,0.366332041,-99.977604316,632397.617,-55.203156,70.65287
8.0,0.372521628,-99.977631636,632396.834,-55.201032,70.647741
8.1,0.378711215,-99.977665787,632396.115,-55.198908,70.642604
8.2,0.384900829,-99.977693108,632395.333,-55.196784,70.637468
8.3,0.391090416,-99.977727259,632394.614,-55.19466,70.632332
8.4,0.397279976,-99.97775458,632393.895,-55.192535,70.627202
8.5,0.403469589,-99.977788731,632393.115,-55.190411,70.622066
8.6,0.409659176,-99.977816052,632392.397,-55.188284,70.616937
8.7,0.415848789,-99.977850203,632391.618,-55.186159,70.6118
8.8,0.422038402,-99.977884353,632390.901,-55.184035,70.606671
8.9,0.428228016,-99.977911674,632390.123,-55.181911,70.601534
9.0,0.434417602,-99.977945825,632389.407,-55.179783,70.596405
9.1,0.440607214,-99.977973146,632388.692,-55.177659,70.591275
9.2,0.4467968,-99.978007297,632387.915,-55.175535,70.586146
9.3,0.452986386,-99.978034618,632387.201,-55.173408,70.58101
9.4,0.459175999,-99.978068769,632386.488,-55.171283,70.57588
9.5,0.465365611,-99.978096089,632385.712,-55.169156,70.570751
9.6,0.471555277,-99.97813024,632385.0,-55.167032,70.565621
9.7,0.477744889,-99.978157561,632384.288,-55.164904,70.560492
9.8,0.483934501,-99.978191712,632383.514,-55.16278,70.555362
9.9,0.490124059,-99.978219033,632382.803,-55.160652,70.550233
10.0,0.496313671,-99.978253184,632382.092,-55.158528,70.545103
10.1,0.502503336,-99.978287335,632381.32,-55.1564,70.539974
10.2,0.508692948,-99.978314655,632380.61,-55.154273,70.534851
10.3,0.514882559,-99.978348806,632379.901,-55.152149,70.529722
10.4,0.52107217,-99.978376127,632379.13,-55.150021,70.524592
10.5,0.527261835,-99.978410278,632378.422,-55.147893,70.519463
10.6,0.533451392,-99.978437599,632377.714,-55.145766,70.51434
10.7,0.539641056,-99.97847175,632377.007,-55.143642,70.509211
10.8,0.545830667,-99.978499071,632376.238,-55.141514,70.504088
10.9,0.552020277,-99.978533221,632375.532,-55.139386,70.498959
11.0,0.558209941,-99.978560542,632374.826,-55.137259,70.493836
11.1,0.564399552,-99.978594693,632374.121,-55.135131,70.488707
11.2,0.570589215,-99.978622014,632373.354,-55.133004,70.483584
11.3,0.576778825,-99.978656165,632372.65,-55.130876,70.478461
