time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
1240.000000,0,5.2305,193.7446,47.7068,-5.1959,-10.4803
1240.000000,1,5.2305,193.8223,47.6300,-5.3503,-11.6055
1240.000000,2,5.2305,193.9068,47.5389,-5.5260,-12.2587
1240.000000,3,5.2305,193.9985,47.6428,-5.5137,-12.2192
1240.000000,4,5.2305,194.0981,47.7025,-5.5536,-11.7558
1240.000000,5,5.2305,193.4678,47.6857,-4.9401,-10.7618
1240.000000,6,5.2305,193.5414,47.6876,-5.0118,-11.6908
1240.000000,7,5.2305,193.6211,47.6682,-5.1110,-12.1325
1240.000000,8,5.2305,193.7074,47.5587,-5.3068,-12.1670
1240.000000,9,5.2305,193.8008,47.6181,-5.3407,-11.5387
1240.000000,10,5.2305,193.2097,47.5880,-4.7797,-11.1140
1240.000000,11,5.2305,193.2800,47.6650,-4.7730,-11.8350
1240.000000,12,5.2305,193.3559,47.7125,-4.8015,-12.0585
1240.000000,13,5.2305,193.4378,47.6704,-4.9254,-11.8590
1240.000000,14,5.2305,193.5261,47.5875,-5.0966,-11.2080
1240.000000,15,5.2305,192.9673,47.6018,-4.5235,-11.3251
1240.000000,16,5.2305,193.0348,47.5563,-4.6365,-12.0369
1240.000000,17,5.2305,193.1076,47.6661,-4.5995,-12.0364
1240.000000,18,5.2305,193.1859,47.6863,-4.6577,-11.5985
1240.000000,19,5.2305,193.2700,47.6935,-4.7345,-10.6665
1240.000000,20,5.2305,192.7381,47.6947,-4.2014,-11.4235
1240.000000,21,5.2305,192.8034,47.6350,-4.3264,-11.9996
1240.000000,22,5.2305,192.8736,47.5221,-4.5096,-12.0678
1240.000000,23,5.2305,192.9489,47.6018,-4.5052,-11.3850
1240.000000,24,5.2305,193.0296,47.6929,-4.4947,-10.1706
1241.000000,0,5.3026,193.6775,47.7067,-5.1288,-10.4491
1241.000000,1,5.3026,193.7542,47.6285,-5.2838,-11.5825
1241.000000,2,5.3026,193.8376,47.5366,-5.4590,-12.2400
1241.000000,3,5.3026,193.9280,47.6432,-5.4429,-12.1985
1241.000000,4,5.3026,194.0261,47.7027,-5.4814,-11.7334
1241.000000,5,5.3026,193.4050,47.6858,-4.8773,-10.7358
1241.000000,6,5.3026,193.4778,47.6872,-4.9487,-11.6703
1241.000000,7,5.3026,193.5567,47.6676,-5.0471,-12.1144
1241.000000,8,5.3026,193.6419,47.5575,-5.2425,-12.1492
1241.000000,9,5.3026,193.7341,47.6181,-5.2740,-11.5168
1241.000000,10,5.3026,193.1506,47.5872,-4.7214,-11.0934
1241.000000,11,5.3026,193.2202,47.6648,-4.7135,-11.8172
1241.000000,12,5.3026,193.2954,47.7125,-4.7410,-12.0414
1241.000000,13,5.3026,193.3764,47.6702,-4.8643,-11.8406
1241.000000,14,5.3026,193.4637,47.5868,-5.0350,-11.1861
1241.000000,15,5.3026,192.9113,47.6017,-4.4676,-11.3072
1241.000000,16,5.3026,192.9783,47.5552,-4.5812,-12.0223
1241.000000,17,5.3026,193.0505,47.6655,-4.5430,-12.0207
