time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.000000,0,55.4670,179.4871,33.3108,-5.3343,-7.4500
0.000000,1,55.4670,179.5640,31.5847,-7.1373,-9.8620
0.000000,2,55.4670,179.6534,33.3077,-5.5038,-8.7596
0.000000,3,55.4670,179.7545,36.1800,-2.7325,-6.1148
0.000000,4,55.4670,179.8665,34.8687,-4.1558,-7.7863
0.000000,5,55.4670,179.6521,45.5260,6.7158,-4.3919
0.000000,6,55.4670,179.7264,44.9922,6.1078,-5.8586
0.000000,7,55.4670,179.8127,44.9953,6.0246,-6.3951
0.000000,8,55.4670,179.9103,46.0272,6.9588,-5.5034
0.000000,9,55.4670,180.0187,45.7504,6.5737,-4.8506
0.000000,10,55.4670,179.8246,47.6473,8.6646,-5.7979
0.000000,11,55.4670,179.8962,47.5861,8.5319,-6.7746
0.000000,12,55.4670,179.9794,47.7125,8.5750,-6.6723
0.000000,13,55.4670,180.1137,47.5108,8.2391,-6.9094
0.000000,14,55.4670,180.2183,47.4600,8.0837,-6.3197
0.000000,15,55.4670,180.0037,45.3711,6.2094,-4.8615
0.000000,16,55.4670,180.1125,45.9109,6.6403,-5.4502
0.000000,17,55.4670,180.1926,45.0702,5.7195,-6.5559
0.000000,18,55.4670,180.2835,45.3366,5.8951,-5.9196
0.000000,19,55.4670,180.3845,45.5537,6.0112,-5.2827
0.000000,20,55.4670,180.2283,36.3225,-3.0638,-7.1959
0.000000,21,55.4670,180.2944,37.6772,-1.7753,-5.9555
0.000000,22,55.4670,180.3715,35.8963,-3.6333,-7.9742
0.000000,23,55.4670,180.4590,36.1257,-3.4914,-7.0184
0.000000,24,55.4670,180.5563,37.3380,-2.3763,-5.1092
1.000000,0,55.0340,179.5258,33.4078,-5.2761,-7.2609
1.000000,1,55.0340,179.6021,31.9301,-6.8301,-9.4821
1.000000,2,55.0340,179.6908,33.2607,-5.5881,-8.8581
1.000000,3,55.0340,179.7910,36.0465,-2.9025,-6.3886
1.000000,4,55.0340,179.9021,34.9138,-4.1464,-7.8490
1.000000,5,55.0340,179.6931,45.4859,6.6348,-4.6347
1.000000,6,55.0340,179.7667,45.0134,6.0887,-6.0026
1.000000,7,55.0340,179.8522,44.9063,5.8960,-6.6287
1.000000,8,55.0340,179.9491,45.9488,6.8417,-5.6971
1.000000,9,55.0340,180.0965,45.7073,6.4528,-4.9640
1.000000,10,55.0340,179.8676,47.6612,8.6356,-5.8138
1.000000,11,55.0340,179.9384,47.5945,8.4981,-6.8060
1.000000,12,55.0340,180.0209,47.7125,8.5335,-6.7141
1.000000,13,55.0340,180.1543,47.5197,8.2073,-6.9419
1.000000,14,55.0340,180.2581,47.4595,8.0434,-6.3564
1.000000,15,55.0340,180.0883,45.3391,6.0928,-5.0139
1.000000,16,55.0340,180.1565,45.8424,6.5279,-5.6434
1.000000,17,55.0340,180.2359,45.0096,5.6157,-6.7475
1.000000,18,55.0340,180.3259,45.3582,5.8743,-6.0442
1.000000,19,55.0340,180.4259,45.5387,5.9547,-5.4865
1.000000,20,55.0340,180.2744,36.4264,-3.0060,-7.2723
1.000000,21,55.0340,180.3399,37.6512,-1.8467,-6.1573
1.000000,22,55.0340,180.4162,35.9281,-3.6462,-8.1298
1.000000,23,55.0340,180.5029,36.3680,-3.2929,-6.9754
1.000000,24,55.0340,180.5993,37.4458,-2.3115,-5.3041
2.000000,0,54.6030,179.5651,33.5170,-5.2061,-7.1126
2.000000,1,54.6030,179.6408,32.2767,-6.5221,-9.1522
2.000000,2,54.6030,179.7287,33.2248,-5.6619,-8.9895
2.000000,3,54.6030,179.8281,35.9249,-3.0612,-6.6794
2.000000,4,54.6030,179.9384,34.9685,-4.1279,-7.9138
2.000000,5,54.6030,179.7345,45.4480,6.5555,-4.8690
2.000000,6,54.6030,179.8075,45.0358,6.0703,-6.1428
2.000000,7,54.6030,179.8923,44.8194,5.7691,-6.8575
2.000000,8,54.6030,179.9883,45.8705,6.7242,-5.8893
2.000000,9,54.6030,180.1349,45.6660,6.3731,-5.0740
2.000000,10,54.6030,179.9109,47.6725,8.6036,-5.8309
2.000000,11,54.6030,179.9811,47.6022,8.4630,-6.8357
2.000000,12,54.6030,180.1028,47.7125,8.4516,-6.7547
2.000000,13,54.6030,180.1955,47.5279,8.1744,-6.9725
2.000000,14,54.6030,180.2983,47.4589,8.0026,-6.3904
2.000000,15,54.6030,180.1333,45.3091,6.0178,-5.1595
2.000000,16,54.6030,180.2008,45.7754,6.4165,-5.8337
2.000000,17,54.6030,180.2795,44.9511,5.5136,-6.9351
2.000000,18,54.6030,180.3687,45.3805,5.8538,-6.1666
2.000000,19,54.6030,180.4678,45.5250,5.8991,-5.6829
2.000000,20,54.6030,180.2657,36.5346,-2.8892,-7.3351
2.000000,21,54.6030,180.3299,37.6322,-1.8557,-6.3583
2.000000,22,54.6030,180.4046,35.9653,-3.5973,-8.2900
2.000000,23,54.6030,180.5294,36.6089,-3.0785,-6.9650
2.000000,24,54.6030,180.6236,37.5573,-2.2243,-5.5277
3.000000,0,54.1742,179.6050,33.6379,-5.1252,-7.0171
3.000000,1,54.1742,179.6800,32.6237,-6.2143,-8.8799
3.000000,2,54.1742,179.7671,33.1998,-5.7254,-9.1554
3.000000,3,54.1742,179.8658,35.8154,-3.2084,-6.9861
3.000000,4,54.1742,179.9752,35.0325,-4.1007,-7.9806
3.000000,5,54.1742,179.7765,45.4123,6.4778,-5.0947
3.000000,6,54.1742,179.8487,45.0593,6.0525,-6.2788
3.000000,7,54.1742,179.9328,44.7348,5.6440,-7.0812
3.000000,8,54.1742,180.0680,45.7926,6.5666,-6.0818
3.000000,9,54.1742,180.1737,45.6264,6.2947,-5.1831
3.000000,10,54.1742,179.9547,47.6814,8.5687,-5.8490
3.000000,11,54.1742,180.0642,47.6090,8.3868,-6.8649
3.000000,12,54.1742,180.1452,47.7125,8.4092,-6.7917
3.000000,13,54.1742,180.2370,47.5355,8.1405,-7.0013
3.000000,14,54.1742,180.3390,47.4582,7.9612,-6.4219
3.000000,15,54.1742,180.1786,45.2810,5.9443,-5.3015
3.000000,16,54.1742,180.2455,45.7097,6.3062,-6.0209
3.000000,17,54.1742,180.3234,44.8949,5.4135,-7.1179
3.000000,18,54.1742,180.4118,45.4035,5.8337,-6.2862
3.000000,19,54.1742,180.5100,45.5125,5.8445,-5.8716
3.000000,20,54.1742,180.3119,36.6466,-2.8233,-7.4240
3.000000,21,54.1742,180.3754,37.6202,-1.9132,-6.5971
3.000000,22,54.1742,180.4894,36.2021,-3.4453,-8.2816
3.000000,23,54.1742,180.5733,36.8481,-2.8833,-6.9979
3.000000,24,54.1742,180.6666,37.6723,-2.1524,-5.7905
4.000000,0,53.7475,179.6453,33.7695,-5.0339,-6.9832
4.000000,1,53.7475,179.7197,32.9700,-5.9077,-8.6699
4.000000,2,53.7475,179.8061,33.1855,-5.7786,-9.3554
4.000000,3,53.7475,179.9040,35.7180,-3.3440,-7.3067
4.000000,4,53.7475,180.0125,35.1053,-4.0652,-8.0498
4.000000,5,53.7475,179.8189,45.3788,6.4019,-5.3116
4.000000,6,53.7475,179.8905,45.0838,6.0353,-6.4103
4.000000,7,53.7475,179.9738,44.6527,5.5209,-7.2993
4.000000,8,53.7475,180.1082,45.7154,6.4491,-6.2697
4.000000,9,53.7475,180.2130,45.5886,6.2175,-5.2912
4.000000,10,53.7475,179.9988,47.6880,8.5311,-5.8682
4.000000,11,53.7475,180.1078,47.6152,8.3494,-6.8913
4.000000,12,53.7475,180.1880,47.7125,8.3664,-6.8265
4.000000,13,53.7475,180.2789,47.5425,8.1055,-7.0283
4.000000,14,53.7475,180.3800,47.4573,7.9193,-6.4510
4.000000,15,53.7475,180.2243,45.2548,5.8724,-5.4396
4.000000,16,53.7475,180.2906,45.6456,6.1970,-6.2046
4.000000,17,53.7475,180.3677,44.9748,5.4490,-7.1368
4.000000,18,53.7475,180.4553,45.4271,5.8138,-6.4026
4.000000,19,53.7475,180.5526,45.5014,5.7907,-6.0524
4.000000,20,53.7475,180.3583,36.7624,-2.7540,-7.5182
4.000000,21,53.7475,180.4212,37.6149,-1.9643,-6.8505
4.000000,22,53.7475,180.5344,36.4491,-3.2434,-8.2729
4.000000,23,53.7475,180.6175,37.0851,-2.6905,-7.0622
4.000000,24,53.7475,180.7100,37.7904,-2.0776,-6.0749
5.000000,0,53.3231,179.6862,33.9110,-4.9332,-7.0146
5.000000,1,53.3231,179.7600,33.3147,-5.6032,-8.5227
5.000000,2,53.3231,179.8456,33.1819,-5.8218,-9.5871
5.000000,3,53.3231,179.9427,35.6328,-3.4679,-7.6387
5.000000,4,53.3231,180.0903,35.1864,-4.0619,-8.1369
5.000000,5,53.3231,179.8617,45.3475,6.3278,-5.5195
5.000000,6,53.3231,179.9327,45.1094,6.0186,-6.5369
5.000000,7,53.3231,180.0153,44.7297,5.5564,-7.3267
5.000000,8,53.3231,180.1489,45.6389,6.3321,-6.4548
5.000000,9,53.3231,180.2527,45.5526,6.1418,-5.3981
5.000000,10,53.3231,180.0834,47.6925,8.4510,-5.8899
5.000000,11,53.3231,180.1517,47.6206,8.3109,-6.9164
5.000000,12,53.3231,180.2311,47.7125,8.3233,-6.8592
5.000000,13,53.3231,180.3213,47.5490,8.0697,-7.0538
5.000000,14,53.3231,180.4214,47.4564,7.8769,-6.4780
5.000000,15,53.3231,180.2159,45.2305,5.8565,-5.5698
5.000000,16,53.3231,180.2808,45.5832,6.1444,-6.3813
5.000000,17,53.3231,180.3563,45.0530,5.5386,-7.1533
5.000000,18,53.3231,180.4820,45.4513,5.8112,-6.5146
5.000000,19,53.3231,180.5772,45.4914,5.7562,-6.2241
5.000000,20,53.3231,180.4050,36.8815,-2.6816,-7.6168
5.000000,21,53.3231,180.5072,37.6163,-2.0490,-7.1280
5.000000,22,53.3231,180.5797,36.6936,-3.0442,-8.2881
5.000000,23,53.3231,180.6620,37.3197,-2.5003,-7.1525
5.000000,24,53.3231,180.7536,37.9111,-2.0005,-6.3732
6.000000,0,52.9010,179.7277,34.0617,-4.8239,-7.1098
6.000000,1,52.9010,179.8007,33.6571,-5.3016,-8.4356
6.000000,2,52.9010,179.8857,33.1886,-5.8550,-9.8466
6.000000,3,52.9010,179.9818,35.5597,-3.5802,-7.9789
6.000000,4,52.9010,180.1286,35.2754,-4.0112,-8.2101
6.000000,5,52.9010,179.9050,45.3185,6.2554,-5.7185
6.000000,6,52.9010,179.9753,45.1358,6.0025,-6.6586
6.000000,7,52.9010,180.0972,44.8133,5.5580,-7.3470
6.000000,8,52.9010,180.1899,45.5636,6.2156,-6.6367
6.000000,9,52.9010,180.2929,45.5184,6.0674,-5.5035
6.000000,10,52.9010,180.1283,47.6949,8.4086,-5.9110
6.000000,11,52.9010,180.1959,47.6320,8.2780,-6.9322
6.000000,12,52.9010,180.2747,47.7125,8.2797,-6.8901
6.000000,13,52.9010,180.3640,47.5549,8.0329,-7.0778
6.000000,14,52.9010,180.4632,47.4683,7.8470,-6.4873
6.000000,15,52.9010,180.2617,45.2081,5.7883,-5.6999
