# satellite_orbit.csv �X generated by run_sgp4.py
# coord_note: sat_lat_deg is GEODETIC (WGS72),converted from ephem geocentric
# coord_note: sat_alt_m   is height above WGS72 ellipsoid
# coord_note: elevation_deg/azimuth_deg are from ephem observer (correct)
# satellite : iridium-75 15
# tle_file  : 2D/data/tle/iridium.txt
# start_utc : 2000/01/01 00:00:00
# observer  : lat=35.676 lon=139.65
# window_start_s : 0.0
# window_end_s   : 500.0
# step_ms   : 100.0
# rows      : 5001
time_s,sat_lat_deg,sat_lon_deg,sat_alt_m,elevation_deg,azimuth_deg
0.0,32.716662485,137.728756538,639908.753,56.602809,208.878373
0.1,32.710492818,137.728893141,639905.604,56.558853,208.827775
0.2,32.704323145,137.729016085,639902.391,56.514908,208.777354
0.3,32.698156887,137.729139028,639899.243,56.470983,208.727098
0.4,32.6919872,137.729261972,639896.031,56.427072,208.676991
0.5,32.685817505,137.729398575,639892.82,56.383174,208.627049
0.6,32.679647801,137.729521519,639889.671,56.339293,208.577271
0.7,32.673481515,137.729644462,639886.461,56.29543,208.527656
0.8,32.667311796,137.729781066,639883.313,56.25158,208.478192
0.9,32.661142072,137.729904009,639880.102,56.207747,208.428892
1.0,32.654972339,137.730026953,639876.954,56.163932,208.379742
1.1,32.648806023,137.730149896,639873.745,56.12013,208.330755
1.2,32.642636277,137.7302865,639870.535,56.076348,208.28192
1.3,32.636466521,137.730409443,639867.387,56.03258,208.233234
1.4,32.63029676,137.730532387,639864.178,55.98883,208.184712
1.5,32.624130414,137.73065533,639861.032,55.945099,208.136341
1.6,32.617960637,137.730791934,639857.822,55.901383,208.088133
1.7,32.611790853,137.730914877,639854.676,55.857683,208.040063
1.8,32.605621062,137.731037821,639851.467,55.814004,207.992156
1.9,32.599454686,137.731160764,639848.322,55.770339,207.944385
2.0,32.593284881,137.731297368,639845.114,55.726694,207.896779
2.1,32.587115066,137.731420311,639841.968,55.683066,207.849323
2.2,32.580945246,137.731543255,639838.76,55.639455,207.802003
2.3,32.574778841,137.731666198,639835.616,55.595865,207.754848
2.4,32.568609006,137.731789142,639832.408,55.552288,207.707829
2.5,32.562439162,137.731925745,639829.263,55.508732,207.66096
2.6,32.556269313,137.732048689,639826.056,55.465197,207.614241
2.7,32.550102878,137.732171632,639822.913,55.421678,207.567659
2.8,32.543933014,137.732294576,639819.706,55.378177,207.521228
2.9,32.537763141,137.732417519,639816.562,55.334696,207.474946
3.0,32.531593262,137.732554123,639813.355,55.291235,207.428815
3.1,32.525426798,137.732677066,639810.213,55.247792,207.382821
3.2,32.519256904,137.73280001,639807.007,55.204369,207.336963
