row,col,cx_m,cy_m,in_footprint,coverage_i_s,mean_snr_i_dB,max_snr_i_dB,coverage_i1_s,mean_snr_i1_dB,max_snr_i1_dB,greedy_mean_snr_dB
0,0,-56568.542,-56568.542,1,372.300,1.7559,8.5622,651.200,1.1083,7.6123,1.8932
0,1,-28284.271,-56568.542,1,372.300,1.7926,8.1286,651.200,1.8627,9.5190,2.4403
0,2,0.000,-56568.542,1,372.300,2.2915,8.1075,651.200,2.0996,9.0471,2.8094
0,3,28284.271,-56568.542,1,372.300,1.7875,8.5767,651.200,1.6793,7.1927,2.2931
0,4,56568.542,-56568.542,1,372.300,0.5945,6.2814,651.200,1.2086,7.8034,1.4726
1,0,-56568.542,-28284.271,1,372.300,2.5994,8.7814,651.200,2.5601,8.6775,3.2710
1,1,-28284.271,-28284.271,1,372.300,2.8501,8.0995,651.200,3.0781,9.8466,3.7306
1,2,0.000,-28284.271,1,372.300,3.0678,9.0177,651.200,3.0482,9.7452,3.7890
1,3,28284.271,-28284.271,1,372.300,3.2329,9.4914,651.200,2.8075,7.6898,3.6859
1,4,56568.542,-28284.271,1,372.300,2.6488,8.2919,651.200,2.5862,8.6935,3.2913
2,0,-56568.542,0.000,1,372.300,2.9270,8.3010,651.200,2.7705,7.9470,3.5346
2,1,-28284.271,0.000,1,372.300,3.1193,8.8307,651.200,3.0416,9.1178,3.8018
2,2,0.000,0.000,1,372.300,3.6059,9.3602,651.200,3.4145,10.0206,4.2575
2,3,28284.271,0.000,1,372.300,3.2093,8.9948,651.200,3.0572,9.1712,3.8458
2,4,56568.542,0.000,1,372.300,3.0225,8.0975,651.200,2.9217,8.7605,3.6744
3,0,-56568.542,28284.271,1,372.300,2.9583,8.4265,651.200,2.5252,7.8761,3.3560
3,1,-28284.271,28284.271,1,372.300,3.4146,9.1232,651.200,2.9668,9.0429,3.8527
3,2,0.000,28284.271,1,372.300,3.3861,9.0630,651.200,3.1077,9.7887,3.9359
3,3,28284.271,28284.271,1,372.300,3.3145,8.1367,651.200,3.1151,9.8720,3.9173
3,4,56568.542,28284.271,1,372.300,2.8856,8.2833,651.200,2.8797,9.9089,3.5806
4,0,-56568.542,56568.542,1,372.300,0.8029,6.4161,651.200,1.0017,6.3974,1.3658
4,1,-28284.271,56568.542,1,372.300,2.1562,8.2722,651.200,1.8154,8.4086,2.4943
4,2,0.000,56568.542,1,372.300,2.7971,8.4400,651.200,2.2542,9.3769,3.0740
4,3,28284.271,56568.542,1,372.300,2.3899,7.8443,651.200,1.9872,9.6115,2.7167
4,4,56568.542,56568.542,1,372.300,1.8606,8.1403,651.200,1.5289,8.9074,2.1805
