time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.000000,0,0,-56568.542,-56568.542,53.8830,1,180.1999,35.2818,-4.0762,-8.7043
0.000000,0,1,-28284.271,-56568.542,53.8830,1,180.0202,36.3958,-2.7825,-7.2371
0.000000,0,2,0.000,-56568.542,53.8830,1,179.8892,37.7187,-1.3285,-5.3699
0.000000,0,3,28284.271,-56568.542,53.8830,1,179.7678,34.6320,-4.2938,-8.3531
0.000000,0,4,56568.542,-56568.542,53.8830,1,179.6567,32.0820,-6.7328,-9.7726
0.000000,1,0,-56568.542,-28284.271,53.8830,1,180.3340,45.5362,6.0442,-5.3450
0.000000,1,1,-28284.271,-28284.271,53.8830,1,180.1984,45.2385,5.8821,-6.7001
0.000000,1,2,0.000,-28284.271,53.8830,1,180.0313,46.0343,6.8450,-5.6061
0.000000,1,3,28284.271,-28284.271,53.8830,1,179.9135,45.7340,6.6624,-5.1250
0.000000,1,4,56568.542,-28284.271,53.8830,1,179.8060,43.1700,4.2059,-6.8421
0.000000,2,0,-56568.542,0.000,53.8830,1,180.4760,47.5534,7.9194,-6.1923
0.000000,2,1,-28284.271,0.000,53.8830,1,180.3444,47.6514,8.1490,-6.9017
0.000000,2,2,0.000,0.000,53.8830,1,180.2213,47.7125,8.3331,-7.0600
0.000000,2,3,28284.271,0.000,53.8830,1,180.0674,47.5848,8.3594,-6.8845
0.000000,2,4,56568.542,0.000,53.8830,1,179.9634,47.0038,7.8824,-6.5078
0.000000,3,0,-56568.542,28284.271,53.8830,1,180.6249,44.2600,4.4770,-6.6546
0.000000,3,1,-28284.271,28284.271,53.8830,1,180.4976,45.8900,6.2344,-5.4771
0.000000,3,2,0.000,28284.271,53.8830,1,180.3785,46.0544,6.5179,-5.7101
0.000000,3,3,28284.271,28284.271,53.8830,1,180.2684,45.5673,6.1408,-5.9358
0.000000,3,4,56568.542,28284.271,53.8830,1,180.1680,44.7087,5.3827,-5.6547
0.000000,4,0,-56568.542,56568.542,53.8830,1,180.7802,36.2261,-3.7121,-7.0462
0.000000,4,1,-28284.271,56568.542,53.8830,1,180.6570,37.5311,-2.2839,-6.8006
0.000000,4,2,0.000,56568.542,53.8830,1,180.5420,39.0720,-0.6280,-5.3522
0.000000,4,3,28284.271,56568.542,53.8830,1,180.4357,38.0562,-1.5376,-6.3801
0.000000,4,4,56568.542,56568.542,53.8830,1,180.3389,36.2269,-3.2700,-7.8435
0.100000,0,0,-56568.542,-56568.542,53.9208,1,180.1968,35.2706,-4.0843,-8.7091
0.100000,0,1,-28284.271,-56568.542,53.9208,1,180.0170,36.3976,-2.7774,-7.2269
0.100000,0,2,0.000,-56568.542,53.9208,1,179.8859,37.7325,-1.3115,-5.3556
0.100000,0,3,28284.271,-56568.542,53.9208,1,179.7644,34.6301,-4.2923,-8.3588
0.100000,0,4,56568.542,-56568.542,53.9208,1,179.6533,32.1361,-6.6753,-9.7252
0.100000,1,0,-56568.542,-28284.271,53.9208,1,180.3307,45.5463,6.0575,-5.3284
0.100000,1,1,-28284.271,-28284.271,53.9208,1,180.1950,45.2364,5.8834,-6.6969
0.100000,1,2,0.000,-28284.271,53.9208,1,180.0278,46.0401,6.8543,-5.5877
0.100000,1,3,28284.271,-28284.271,53.9208,1,179.9099,45.7399,6.6719,-5.1005
0.100000,1,4,56568.542,-28284.271,53.9208,1,179.8023,43.1692,4.2089,-6.8232
0.100000,2,0,-56568.542,0.000,53.9208,1,180.4724,47.5533,7.9228,-6.1887
0.100000,2,1,-28284.271,0.000,53.9208,1,180.3408,47.6514,8.1525,-6.8972
0.100000,2,2,0.000,0.000,53.9208,1,180.2176,47.7125,8.3368,-7.0546
0.100000,2,3,28284.271,0.000,53.9208,1,180.0636,47.5847,8.3631,-6.8806
0.100000,2,4,56568.542,0.000,53.9208,1,179.9595,47.0030,7.8854,-6.5052
0.100000,3,0,-56568.542,28284.271,53.9208,1,180.6212,44.2530,4.4738,-6.6450
0.100000,3,1,-28284.271,28284.271,53.9208,1,180.4938,45.8938,6.2419,-5.4567
0.100000,3,2,0.000,28284.271,53.9208,1,180.3746,46.0593,6.5267,-5.6932
