row,col,cx_m,cy_m,in_footprint,coverage_s,mean_snr_dB,min_snr_dB,max_snr_dB
0,0,-56568.542,-56568.542,1,372.300,1.7559,-5.6474,8.5622
0,1,-28284.271,-56568.542,1,372.300,1.7926,-5.5764,8.1286
0,2,0.000,-56568.542,1,372.300,2.2915,-5.5030,8.1075
0,3,28284.271,-56568.542,1,372.300,1.7875,-5.4591,8.5767
0,4,56568.542,-56568.542,1,372.300,0.5945,-6.7328,6.2814
1,0,-56568.542,-28284.271,1,372.300,2.5994,-5.3924,8.7814
1,1,-28284.271,-28284.271,1,372.300,2.8501,-5.2716,8.0995
1,2,0.000,-28284.271,1,372.300,3.0678,-5.1926,9.0177
1,3,28284.271,-28284.271,1,372.300,3.2329,-5.1966,9.4914
1,4,56568.542,-28284.271,1,372.300,2.6488,-5.1972,8.2919
2,0,-56568.542,0.000,1,372.300,2.9270,-5.0658,8.3010
2,1,-28284.271,0.000,1,372.300,3.1193,-5.0048,8.8307
2,2,0.000,0.000,1,372.300,3.6059,-4.9169,9.3602
2,3,28284.271,0.000,1,372.300,3.2093,-4.9487,8.9948
2,4,56568.542,0.000,1,372.300,3.0225,-4.9554,8.0975
3,0,-56568.542,28284.271,1,372.300,2.9583,-4.7771,8.4265
3,1,-28284.271,28284.271,1,372.300,3.4146,-4.7340,9.1232
3,2,0.000,28284.271,1,372.300,3.3861,-4.6733,9.0630
3,3,28284.271,28284.271,1,372.300,3.3145,-4.6937,8.1367
3,4,56568.542,28284.271,1,372.300,2.8856,-4.7411,8.2833
4,0,-56568.542,56568.542,1,372.300,0.8029,-5.1998,6.4161
4,1,-28284.271,56568.542,1,372.300,2.1562,-4.4687,8.2722
4,2,0.000,56568.542,1,372.300,2.7971,-4.4602,8.4400
4,3,28284.271,56568.542,1,372.300,2.3899,-4.4659,7.8443
4,4,56568.542,56568.542,1,372.300,1.8606,-4.5148,8.1403
