user_id,x_m,y_m,z_m
0,18319.774308686,41217.578298254,-159.671039580
1,-38510.784334864,-26831.593133252,-172.896310885
2,60230.422978650,43745.464411768,-434.904932592
3,-36916.957369305,63595.269210558,-424.376087148
4,-53997.082673839,-75199.856783550,-672.669587343
5,-17001.543409861,-95635.190517662,-740.518797030
6,24787.964895033,121.291537885,-48.223217764
7,-6528.022321624,-5938.656891161,-6.112286804
8,62254.684846653,2765.858837745,-304.770730314
9,-97641.119902295,-15323.153505345,-766.690876159
10,74160.248281594,22389.791423735,-470.983127476
11,1750.237518067,16105.143018013,-20.596404584
12,-70171.729939103,-64569.094118321,-713.683012192
13,78145.505570429,-8264.284678762,-484.637679783
14,46524.352647009,-56281.178233297,-418.479166329
15,-53827.483836834,17303.121515659,-250.891459498
16,92852.164579786,-35284.893456447,-774.379833425
17,-49683.489366091,43571.339348528,-342.727059335
18,11879.480666762,98480.540984823,-772.259880623
19,-35468.260594305,-79569.071850995,-595.635652696
20,31177.380059805,-54109.432234707,-306.070739558
21,-70436.803485144,57484.081908197,-648.735191915
22,3045.616580741,-90375.790935336,-641.772974423
23,19802.878394501,73184.463476594,-451.131942167
24,64479.515181519,12852.431501622,-339.264477627
25,-37750.090937711,12330.255656693,-123.773339367
26,69657.665527073,-34582.623047432,-474.680074140
27,-24157.811401602,46298.794628325,-214.034221190
28,-64978.238638923,-8554.934794568,-337.111289435
29,11027.841128323,-16329.651957507,-30.471805175
30,-48711.247431418,-12406.533118591,-198.300660296
31,62757.227520353,-13922.237140300,-324.313567126
32,-10194.687580441,61851.031191215,-308.395606822
33,42580.146402539,72275.490868918,-552.277543439
34,-87940.880186479,45926.448391904,-772.518745493
35,-20991.378595157,74901.248991707,-474.890958819
36,31368.144823382,94204.247066785,-773.740335048
37,13418.468119267,-52023.212517806,-226.535963419
38,56160.607736022,-28039.433073045,-309.238682852
39,50835.086845135,-30081.173859256,-273.831271297
40,-36787.454038767,12093.503829277,-117.688232620
41,-65460.323667099,68993.877777536,-709.913131536
42,-29005.357098163,-49700.514660175,-259.890083247
43,-9890.210486502,63158.681852327,-320.745427282
44,-49110.428316465,44446.855424864,-344.331791788
45,9792.764506508,-13673.862994648,-22.200067393
46,4639.160860981,52545.962582133,-218.383902740
47,83480.209206188,21676.666193855,-583.830171406
48,41252.605591390,34517.860165541,-227.068882339
49,22367.212570556,71456.518375820,-440.003125045
50,-31899.405143875,4976.331758949,-81.803690013
51,-22183.274748971,-62249.011583926,-342.736979312
52,-73509.394285889,-56589.941600326,-675.444103229
53,19716.991511055,64904.579722244,-361.128130333
54,-19439.247037858,-13912.807139072,-44.847946886
55,40382.999828216,-37699.388949457,-239.529742331
56,-17333.181232518,58786.532072500,-294.803204652
57,-91069.706589937,25508.616400004,-701.999197292
58,-76515.527108758,44276.777847777,-613.360159786
59,-15384.636484036,30503.737276420,-91.600488010
60,-58027.172808857,73561.625551286,-688.976630571
61,-4230.977544429,30228.957612625,-73.120106410
62,59354.126446608,194.066280747,-276.489282238
63,-27151.009537056,75741.290377079,-508.097516085
64,-89305.419107920,-19426.331117570,-655.569768832
65,-25397.099179153,-67129.861923886,-404.300303514
66,3154.079031612,85413.404794737,-573.357924382
67,17783.231011505,89444.113505968,-652.716903581
68,-54704.514649771,37764.865445951,-346.797147503
69,-2378.633228328,96667.932113685,-733.863251487
70,-28725.517616169,-81887.606185127,-591.044164358
71,32047.769464805,43013.073924735,-225.807176660
72,-500.259968680,4726.983285220,-1.773240791
73,-12964.579665474,8109.562971704,-18.352352402
74,-55305.858387397,81301.785294821,-758.852151992
75,-25503.079390272,-54826.290191820,-286.957424199
76,-64833.591046337,22068.706715276,-368.117866490
77,-55840.378218209,-36779.156598917,-350.885051012
78,-65474.581298813,70027.401147539,-721.337155472
79,28528.187260510,-82243.746599833,-594.745333947
80,72384.106884853,-7566.584705455,-415.702789392
81,31431.102460055,-70876.620593462,-471.796589281
82,26230.593229992,36447.747667914,-158.256739637
83,-23417.317068419,-66101.372992613,-385.960698152
84,-17287.518872258,33429.212471506,-111.158602375
85,-21341.244251636,-85683.173628327,-611.947059209
86,-25357.309810637,35523.722530490,-149.501677445
87,88504.719003471,-34705.338466094,-709.311640789
88,-77131.736531001,-8638.739358548,-472.779478765
89,-18133.016009408,-35972.810880958,-127.363491896
90,13087.143206638,49764.122616758,-207.799748695
91,-22623.295076969,-63823.844505999,-359.867062625
92,39895.801182448,78245.127266664,-605.426262276
93,-13280.496838224,-1393.240182780,-13.994106915
94,85948.388384338,-2023.487288757,-580.093900141
95,-17362.215704483,-6659.738430339,-27.138548629
96,12869.506540153,31748.697037176,-92.105826843
97,-26059.012611170,-80819.218067182,-565.934580851
98,24256.782316704,-30740.057852716,-120.338810750
99,58762.383955308,-50015.600638194,-467.336091534
