time_s,row,col,cx_m,cy_m,elev_i_deg,snr_i_dB,sinr_i_dB,elev_i1_deg,snr_i1_dB,sinr_i1_dB,best_sat
0.000000,0,0,-56568.542,-56568.542,53.8830,-2.5694,-4.2285,-9.5268,-999.0000,-999.0000,0
0.000000,0,1,-28284.271,-56568.542,53.8830,-2.0682,-4.4969,-9.5268,-999.0000,-999.0000,0
0.000000,0,2,0.000,-56568.542,53.8830,-1.4612,-4.0023,-9.5268,-999.0000,-999.0000,0
0.000000,0,3,28284.271,-56568.542,53.8830,-6.4196,-9.0443,-9.5268,-999.0000,-999.0000,0
0.000000,0,4,56568.542,-56568.542,53.8830,-5.3468,-7.1284,-9.5268,-999.0000,-999.0000,0
0.000000,1,0,-56568.542,-28284.271,53.8830,6.0930,-5.3501,-9.5268,-999.0000,-999.0000,0
0.000000,1,1,-28284.271,-28284.271,53.8830,6.0423,-6.5565,-9.5268,-999.0000,-999.0000,0
0.000000,1,2,0.000,-28284.271,53.8830,6.9563,-5.7463,-9.5268,-999.0000,-999.0000,0
0.000000,1,3,28284.271,-28284.271,53.8830,6.7115,-5.5022,-9.5268,-999.0000,-999.0000,0
0.000000,1,4,56568.542,-28284.271,53.8830,4.4412,-7.4097,-9.5268,-999.0000,-999.0000,0
0.000000,2,0,-56568.542,0.000,53.8830,7.9205,-6.2351,-9.5268,-999.0000,-999.0000,0
0.000000,2,1,-28284.271,0.000,53.8830,8.1494,-6.9006,-9.5268,-999.0000,-999.0000,0
0.000000,2,2,0.000,0.000,53.8830,8.3331,-7.0935,-9.5268,-999.0000,-999.0000,0
0.000000,2,3,28284.271,0.000,53.8830,8.3601,-6.8492,-9.5268,-999.0000,-999.0000,0
0.000000,2,4,56568.542,0.000,53.8830,7.8811,-6.5522,-9.5268,-999.0000,-999.0000,0
0.000000,3,0,-56568.542,28284.271,53.8830,4.7967,-6.9056,-9.5268,-999.0000,-999.0000,0
0.000000,3,1,-28284.271,28284.271,53.8830,6.3013,-5.7408,-9.5268,-999.0000,-999.0000,0
0.000000,3,2,0.000,28284.271,53.8830,6.6377,-5.8626,-9.5268,-999.0000,-999.0000,0
0.000000,3,3,28284.271,28284.271,53.8830,6.3034,-5.7872,-9.5268,-999.0000,-999.0000,0
0.000000,3,4,56568.542,28284.271,53.8830,5.6241,-5.5593,-9.5268,-999.0000,-999.0000,0
0.000000,4,0,-56568.542,56568.542,53.8830,-1.6951,-5.4217,-9.5268,-999.0000,-999.0000,0
0.000000,4,1,-28284.271,56568.542,53.8830,-3.1547,-7.4985,-9.5268,-999.0000,-999.0000,0
0.000000,4,2,0.000,56568.542,53.8830,-0.8352,-4.8402,-9.5268,-999.0000,-999.0000,0
0.000000,4,3,28284.271,56568.542,53.8830,-1.5452,-4.5178,-9.5268,-999.0000,-999.0000,0
0.000000,4,4,56568.542,56568.542,53.8830,-2.7012,-4.7115,-9.5268,-999.0000,-999.0000,0
0.100000,0,0,-56568.542,-56568.542,53.9208,-2.5784,-4.2317,-9.5222,-999.0000,-999.0000,0
0.100000,0,1,-28284.271,-56568.542,53.9208,-2.0656,-4.4829,-9.5222,-999.0000,-999.0000,0
0.100000,0,2,0.000,-56568.542,53.9208,-1.4451,-3.9756,-9.5222,-999.0000,-999.0000,0
0.100000,0,3,28284.271,-56568.542,53.9208,-6.4278,-9.0452,-9.5222,-999.0000,-999.0000,0
0.100000,0,4,56568.542,-56568.542,53.9208,-5.3621,-7.1377,-9.5222,-999.0000,-999.0000,0
0.100000,1,0,-56568.542,-28284.271,53.9208,6.1060,-5.3336,-9.5222,-999.0000,-999.0000,0
0.100000,1,1,-28284.271,-28284.271,53.9208,6.0432,-6.5534,-9.5222,-999.0000,-999.0000,0
0.100000,1,2,0.000,-28284.271,53.9208,6.9645,-5.7293,-9.5222,-999.0000,-999.0000,0
0.100000,1,3,28284.271,-28284.271,53.9208,6.7205,-5.4785,-9.5222,-999.0000,-999.0000,0
0.100000,1,4,56568.542,-28284.271,53.9208,4.4364,-7.4028,-9.5222,-999.0000,-999.0000,0
0.100000,2,0,-56568.542,0.000,53.9208,7.9239,-6.2318,-9.5222,-999.0000,-999.0000,0
0.100000,2,1,-28284.271,0.000,53.9208,8.1530,-6.8963,-9.5222,-999.0000,-999.0000,0
0.100000,2,2,0.000,0.000,53.9208,8.3368,-7.0885,-9.5222,-999.0000,-999.0000,0
0.100000,2,3,28284.271,0.000,53.9208,8.3637,-6.8453,-9.5222,-999.0000,-999.0000,0
0.100000,2,4,56568.542,0.000,53.9208,7.8842,-6.5496,-9.5222,-999.0000,-999.0000,0
0.100000,3,0,-56568.542,28284.271,53.9208,4.7939,-6.8972,-9.5222,-999.0000,-999.0000,0
0.100000,3,1,-28284.271,28284.271,53.9208,6.3084,-5.7208,-9.5222,-999.0000,-999.0000,0
0.100000,3,2,0.000,28284.271,53.9208,6.6458,-5.8467,-9.5222,-999.0000,-999.0000,0
0.100000,3,3,28284.271,28284.271,53.9208,6.3097,-5.7760,-9.5222,-999.0000,-999.0000,0
0.100000,3,4,56568.542,28284.271,53.9208,5.6280,-5.5520,-9.5222,-999.0000,-999.0000,0
0.100000,4,0,-56568.542,56568.542,53.9208,-1.7058,-5.4034,-9.5222,-999.0000,-999.0000,0
0.100000,4,1,-28284.271,56568.542,53.9208,-3.1744,-7.4986,-9.5222,-999.0000,-999.0000,0
0.100000,4,2,0.000,56568.542,53.9208,-0.8295,-4.8132,-9.5222,-999.0000,-999.0000,0
0.100000,4,3,28284.271,56568.542,53.9208,-1.5480,-4.5008,-9.5222,-999.0000,-999.0000,0
0.100000,4,4,56568.542,56568.542,53.9208,-2.7146,-4.7078,-9.5222,-999.0000,-999.0000,0
0.200000,0,0,-56568.542,-56568.542,53.9587,-2.5874,-4.2351,-9.5176,-999.0000,-999.0000,0
0.200000,0,1,-28284.271,-56568.542,53.9587,-2.0629,-4.4692,-9.5176,-999.0000,-999.0000,0
0.200000,0,2,0.000,-56568.542,53.9587,-1.4289,-3.9492,-9.5176,-999.0000,-999.0000,0
0.200000,0,3,28284.271,-56568.542,53.9587,-6.4358,-9.0466,-9.5176,-999.0000,-999.0000,0
0.200000,0,4,56568.542,-56568.542,53.9587,-5.3773,-7.1476,-9.5176,-999.0000,-999.0000,0
0.200000,1,0,-56568.542,-28284.271,53.9587,6.1189,-5.3172,-9.5176,-999.0000,-999.0000,0
0.200000,1,1,-28284.271,-28284.271,53.9587,6.0441,-6.5503,-9.5176,-999.0000,-999.0000,0
0.200000,1,2,0.000,-28284.271,53.9587,6.9727,-5.7122,-9.5176,-999.0000,-999.0000,0
0.200000,1,3,28284.271,-28284.271,53.9587,6.7295,-5.4548,-9.5176,-999.0000,-999.0000,0
0.200000,1,4,56568.542,-28284.271,53.9587,4.4379,-7.3884,-9.5176,-999.0000,-999.0000,0
0.200000,2,0,-56568.542,0.000,53.9587,7.9274,-6.2285,-9.5176,-999.0000,-999.0000,0
0.200000,2,1,-28284.271,0.000,53.9587,8.1565,-6.8919,-9.5176,-999.0000,-999.0000,0
0.200000,2,2,0.000,0.000,53.9587,8.3405,-7.0836,-9.5176,-999.0000,-999.0000,0
0.200000,2,3,28284.271,0.000,53.9587,8.3674,-6.8415,-9.5176,-999.0000,-999.0000,0
0.200000,2,4,56568.542,0.000,53.9587,7.8874,-6.5470,-9.5176,-999.0000,-999.0000,0
0.200000,3,0,-56568.542,28284.271,53.9587,4.7912,-6.8889,-9.5176,-999.0000,-999.0000,0
0.200000,3,1,-28284.271,28284.271,53.9587,6.3155,-5.7008,-9.5176,-999.0000,-999.0000,0
0.200000,3,2,0.000,28284.271,53.9587,6.6539,-5.8308,-9.5176,-999.0000,-999.0000,0
0.200000,3,3,28284.271,28284.271,53.9587,6.3160,-5.7648,-9.5176,-999.0000,-999.0000,0
0.200000,3,4,56568.542,28284.271,53.9587,5.6319,-5.5447,-9.5176,-999.0000,-999.0000,0
0.200000,4,0,-56568.542,56568.542,53.9587,-1.7165,-5.3854,-9.5176,-999.0000,-999.0000,0
0.200000,4,1,-28284.271,56568.542,53.9587,-3.1943,-7.4990,-9.5176,-999.0000,-999.0000,0
0.200000,4,2,0.000,56568.542,53.9587,-0.8238,-4.7864,-9.5176,-999.0000,-999.0000,0
0.200000,4,3,28284.271,56568.542,53.9587,-1.5507,-4.4840,-9.5176,-999.0000,-999.0000,0
0.200000,4,4,56568.542,56568.542,53.9587,-2.7280,-4.7042,-9.5176,-999.0000,-999.0000,0
0.300000,0,0,-56568.542,-56568.542,53.9965,-2.5964,-4.2386,-9.5130,-999.0000,-999.0000,0
0.300000,0,1,-28284.271,-56568.542,53.9965,-2.0602,-4.4557,-9.5130,-999.0000,-999.0000,0
0.300000,0,2,0.000,-56568.542,53.9965,-1.4126,-3.9232,-9.5130,-999.0000,-999.0000,0
0.300000,0,3,28284.271,-56568.542,53.9965,-6.4439,-9.0486,-9.5130,-999.0000,-999.0000,0
0.300000,0,4,56568.542,-56568.542,53.9965,-5.3925,-7.1580,-9.5130,-999.0000,-999.0000,0
0.300000,1,0,-56568.542,-28284.271,53.9965,6.1318,-5.3007,-9.5130,-999.0000,-999.0000,0
0.300000,1,1,-28284.271,-28284.271,53.9965,6.0451,-6.5472,-9.5130,-999.0000,-999.0000,0
0.300000,1,2,0.000,-28284.271,53.9965,6.9810,-5.6951,-9.5130,-999.0000,-999.0000,0
0.300000,1,3,28284.271,-28284.271,53.9965,6.7386,-5.4310,-9.5130,-999.0000,-999.0000,0
0.300000,1,4,56568.542,-28284.271,53.9965,4.4407,-7.3724,-9.5130,-999.0000,-999.0000,0
0.300000,2,0,-56568.542,0.000,53.9965,7.9308,-6.2252,-9.5130,-999.0000,-999.0000,0
0.300000,2,1,-28284.271,0.000,53.9965,8.1601,-6.8876,-9.5130,-999.0000,-999.0000,0
0.300000,2,2,0.000,0.000,53.9965,8.3443,-7.0787,-9.5130,-999.0000,-999.0000,0
0.300000,2,3,28284.271,0.000,53.9965,8.3711,-6.8376,-9.5130,-999.0000,-999.0000,0
0.300000,2,4,56568.542,0.000,53.9965,7.8905,-6.5444,-9.5130,-999.0000,-999.0000,0
0.300000,3,0,-56568.542,28284.271,53.9965,4.7884,-6.8805,-9.5130,-999.0000,-999.0000,0
0.300000,3,1,-28284.271,28284.271,53.9965,6.3226,-5.6807,-9.5130,-999.0000,-999.0000,0
0.300000,3,2,0.000,28284.271,53.9965,6.6620,-5.8149,-9.5130,-999.0000,-999.0000,0
0.300000,3,3,28284.271,28284.271,53.9965,6.3223,-5.7537,-9.5130,-999.0000,-999.0000,0
0.300000,3,4,56568.542,28284.271,53.9965,5.6357,-5.5374,-9.5130,-999.0000,-999.0000,0
0.300000,4,0,-56568.542,56568.542,53.9965,-1.7272,-5.3677,-9.5130,-999.0000,-999.0000,0
0.300000,4,1,-28284.271,56568.542,53.9965,-3.2141,-7.4998,-9.5130,-999.0000,-999.0000,0
0.300000,4,2,0.000,56568.542,53.9965,-0.8181,-4.7597,-9.5130,-999.0000,-999.0000,0
0.300000,4,3,28284.271,56568.542,53.9965,-1.5534,-4.4674,-9.5130,-999.0000,-999.0000,0
0.300000,4,4,56568.542,56568.542,53.9965,-2.7413,-4.7008,-9.5130,-999.0000,-999.0000,0
0.400000,0,0,-56568.542,-56568.542,54.0343,-2.6053,-4.2424,-9.5083,-999.0000,-999.0000,0
0.400000,0,1,-28284.271,-56568.542,54.0343,-2.0573,-4.4426,-9.5083,-999.0000,-999.0000,0
0.400000,0,2,0.000,-56568.542,54.0343,-1.3961,-3.8974,-9.5083,-999.0000,-999.0000,0
0.400000,0,3,28284.271,-56568.542,54.0343,-6.4518,-9.0511,-9.5083,-999.0000,-999.0000,0
0.400000,0,4,56568.542,-56568.542,54.0343,-5.4076,-7.1690,-9.5083,-999.0000,-999.0000,0
0.400000,1,0,-56568.542,-28284.271,54.0343,6.1447,-5.2843,-9.5083,-999.0000,-999.0000,0
0.400000,1,1,-28284.271,-28284.271,54.0343,6.0460,-6.5441,-9.5083,-999.0000,-999.0000,0
0.400000,1,2,0.000,-28284.271,54.0343,6.9891,-5.6781,-9.5083,-999.0000,-999.0000,0
0.400000,1,3,28284.271,-28284.271,54.0343,6.7477,-5.4072,-9.5083,-999.0000,-999.0000,0
0.400000,1,4,56568.542,-28284.271,54.0343,4.4436,-7.3563,-9.5083,-999.0000,-999.0000,0
0.400000,2,0,-56568.542,0.000,54.0343,7.9342,-6.2219,-9.5083,-999.0000,-999.0000,0
0.400000,2,1,-28284.271,0.000,54.0343,8.1637,-6.8832,-9.5083,-999.0000,-999.0000,0
0.400000,2,2,0.000,0.000,54.0343,8.3480,-7.0737,-9.5083,-999.0000,-999.0000,0
0.400000,2,3,28284.271,0.000,54.0343,8.3748,-6.8337,-9.5083,-999.0000,-999.0000,0
0.400000,2,4,56568.542,0.000,54.0343,7.8935,-6.5418,-9.5083,-999.0000,-999.0000,0
0.400000,3,0,-56568.542,28284.271,54.0343,4.7856,-6.8721,-9.5083,-999.0000,-999.0000,0
0.400000,3,1,-28284.271,28284.271,54.0343,6.3298,-5.6606,-9.5083,-999.0000,-999.0000,0
0.400000,3,2,0.000,28284.271,54.0343,6.6701,-5.7990,-9.5083,-999.0000,-999.0000,0
0.400000,3,3,28284.271,28284.271,54.0343,6.3286,-5.7425,-9.5083,-999.0000,-999.0000,0
0.400000,3,4,56568.542,28284.271,54.0343,5.6396,-5.5301,-9.5083,-999.0000,-999.0000,0
0.400000,4,0,-56568.542,56568.542,54.0343,-1.7378,-5.3502,-9.5083,-999.0000,-999.0000,0
0.400000,4,1,-28284.271,56568.542,54.0343,-3.2340,-7.5010,-9.5083,-999.0000,-999.0000,0
0.400000,4,2,0.000,56568.542,54.0343,-0.8122,-4.7333,-9.5083,-999.0000,-999.0000,0
0.400000,4,3,28284.271,56568.542,54.0343,-1.5559,-4.4510,-9.5083,-999.0000,-999.0000,0
0.400000,4,4,56568.542,56568.542,54.0343,-2.7546,-4.6977,-9.5083,-999.0000,-999.0000,0
0.500000,0,0,-56568.542,-56568.542,54.0722,-2.6142,-4.2463,-9.5037,-999.0000,-999.0000,0
0.500000,0,1,-28284.271,-56568.542,54.0722,-2.0544,-4.4297,-9.5037,-999.0000,-999.0000,0
0.500000,0,2,0.000,-56568.542,54.0722,-1.3796,-3.8720,-9.5037,-999.0000,-999.0000,0
0.500000,0,3,28284.271,-56568.542,54.0722,-6.4598,-9.0542,-9.5037,-999.0000,-999.0000,0
0.500000,0,4,56568.542,-56568.542,54.0722,-5.4226,-7.1805,-9.5037,-999.0000,-999.0000,0
0.500000,1,0,-56568.542,-28284.271,54.0722,6.1577,-5.2678,-9.5037,-999.0000,-999.0000,0
0.500000,1,1,-28284.271,-28284.271,54.0722,6.0469,-6.5410,-9.5037,-999.0000,-999.0000,0
0.500000,1,2,0.000,-28284.271,54.0722,6.9973,-5.6610,-9.5037,-999.0000,-999.0000,0
0.500000,1,3,28284.271,-28284.271,54.0722,6.7568,-5.3832,-9.5037,-999.0000,-999.0000,0
0.500000,1,4,56568.542,-28284.271,54.0722,4.4465,-7.3402,-9.5037,-999.0000,-999.0000,0
0.500000,2,0,-56568.542,0.000,54.0722,7.9376,-6.2185,-9.5037,-999.0000,-999.0000,0
0.500000,2,1,-28284.271,0.000,54.0722,8.1672,-6.8787,-9.5037,-999.0000,-999.0000,0
0.500000,2,2,0.000,0.000,54.0722,8.3517,-7.0686,-9.5037,-999.0000,-999.0000,0
0.500000,2,3,28284.271,0.000,54.0722,8.3785,-6.8298,-9.5037,-999.0000,-999.0000,0
0.500000,2,4,56568.542,0.000,54.0722,7.8966,-6.5393,-9.5037,-999.0000,-999.0000,0
0.500000,3,0,-56568.542,28284.271,54.0722,4.7828,-6.8636,-9.5037,-999.0000,-999.0000,0
0.500000,3,1,-28284.271,28284.271,54.0722,6.3369,-5.6404,-9.5037,-999.0000,-999.0000,0
0.500000,3,2,0.000,28284.271,54.0722,6.6782,-5.7831,-9.5037,-999.0000,-999.0000,0
0.500000,3,3,28284.271,28284.271,54.0722,6.3350,-5.7313,-9.5037,-999.0000,-999.0000,0
0.500000,3,4,56568.542,28284.271,54.0722,5.6435,-5.5227,-9.5037,-999.0000,-999.0000,0
0.500000,4,0,-56568.542,56568.542,54.0722,-1.7485,-5.3331,-9.5037,-999.0000,-999.0000,0
0.500000,4,1,-28284.271,56568.542,54.0722,-3.2539,-7.5025,-9.5037,-999.0000,-999.0000,0
0.500000,4,2,0.000,56568.542,54.0722,-0.8063,-4.7069,-9.5037,-999.0000,-999.0000,0
0.500000,4,3,28284.271,56568.542,54.0722,-1.5585,-4.4349,-9.5037,-999.0000,-999.0000,0
0.500000,4,4,56568.542,56568.542,54.0722,-2.7679,-4.6947,-9.5037,-999.0000,-999.0000,0
0.600000,0,0,-56568.542,-56568.542,54.1100,-2.6230,-4.2504,-9.4991,-999.0000,-999.0000,0
0.600000,0,1,-28284.271,-56568.542,54.1100,-2.0514,-4.4171,-9.4991,-999.0000,-999.0000,0
0.600000,0,2,0.000,-56568.542,54.1100,-1.3630,-3.8470,-9.4991,-999.0000,-999.0000,0
0.600000,0,3,28284.271,-56568.542,54.1100,-6.4677,-9.0577,-9.4991,-999.0000,-999.0000,0
0.600000,0,4,56568.542,-56568.542,54.1100,-5.4376,-7.1926,-9.4991,-999.0000,-999.0000,0
0.600000,1,0,-56568.542,-28284.271,54.1100,6.1706,-5.2514,-9.4991,-999.0000,-999.0000,0
0.600000,1,1,-28284.271,-28284.271,54.1100,6.0479,-6.5379,-9.4991,-999.0000,-999.0000,0
0.600000,1,2,0.000,-28284.271,54.1100,7.0055,-5.6440,-9.4991,-999.0000,-999.0000,0
0.600000,1,3,28284.271,-28284.271,54.1100,6.7659,-5.3593,-9.4991,-999.0000,-999.0000,0
0.600000,1,4,56568.542,-28284.271,54.1100,4.4494,-7.3240,-9.4991,-999.0000,-999.0000,0
0.600000,2,0,-56568.542,0.000,54.1100,7.9410,-6.2151,-9.4991,-999.0000,-999.0000,0
0.600000,2,1,-28284.271,0.000,54.1100,8.1708,-6.8743,-9.4991,-999.0000,-999.0000,0
0.600000,2,2,0.000,0.000,54.1100,8.3554,-7.0636,-9.4991,-999.0000,-999.0000,0
