row,col,cx_m,cy_m,in_footprint,coverage_i_s,mean_snr_i_dB,max_snr_i_dB,coverage_i1_s,mean_snr_i1_dB,max_snr_i1_dB,greedy_mean_snr_dB
0,0,-56568.542,-56568.542,1,372.300,1.8254,8.5644,651.200,1.3083,7.6168,2.0564
0,1,-28284.271,-56568.542,1,372.300,1.8452,8.1299,651.200,1.9624,9.5192,2.5289
0,2,0.000,-56568.542,1,372.300,2.3287,8.1043,651.200,2.1603,9.0403,2.8635
0,3,28284.271,-56568.542,1,372.300,1.6668,8.5806,651.200,1.8391,7.1796,2.3576
0,4,56568.542,-56568.542,1,372.300,0.5809,6.3902,651.200,1.4156,7.8133,1.6081
1,0,-56568.542,-28284.271,1,372.300,2.6674,8.7824,651.200,2.6184,8.6593,3.3268
1,1,-28284.271,-28284.271,1,372.300,2.8788,8.0982,651.200,3.1157,9.8465,3.7639
1,2,0.000,-28284.271,1,372.300,3.1057,9.0167,651.200,3.0801,9.7453,3.8272
1,3,28284.271,-28284.271,1,372.300,3.2461,9.4913,651.200,2.8344,7.6208,3.7072
1,4,56568.542,-28284.271,1,372.300,2.7227,8.3037,651.200,2.6530,8.6728,3.3634
2,0,-56568.542,0.000,1,372.300,2.9627,8.3122,651.200,2.8111,7.9666,3.5705
2,1,-28284.271,0.000,1,372.300,3.1863,8.8332,651.200,3.0964,9.1209,3.8605
2,2,0.000,0.000,1,372.300,3.6057,9.3601,651.200,3.4145,10.0206,4.2575
2,3,28284.271,0.000,1,372.300,3.2747,8.9989,651.200,3.1097,9.1777,3.9018
2,4,56568.542,0.000,1,372.300,3.0610,8.1174,651.200,2.9691,8.7717,3.7166
3,0,-56568.542,28284.271,1,372.300,3.0122,8.4356,651.200,2.5929,7.8704,3.4210
3,1,-28284.271,28284.271,1,372.300,3.4273,9.1230,651.200,2.9926,9.0420,3.8735
3,2,0.000,28284.271,1,372.300,3.4237,9.0616,651.200,3.1408,9.7888,3.9747
3,3,28284.271,28284.271,1,372.300,3.3488,8.1391,651.200,3.1621,9.8721,3.9588
3,4,56568.542,28284.271,1,372.300,2.9214,8.2836,651.200,2.9292,9.9088,3.6193
4,0,-56568.542,56568.542,1,372.300,1.0028,6.5188,651.200,1.1615,6.3988,1.5546
4,1,-28284.271,56568.542,1,372.300,2.0546,8.2741,651.200,1.9826,8.4175,2.5716
4,2,0.000,56568.542,1,372.300,2.8078,8.4317,651.200,2.3047,9.3754,3.1109
4,3,28284.271,56568.542,1,372.300,2.3820,7.8238,651.200,2.0471,9.6129,2.7518
4,4,56568.542,56568.542,1,372.300,1.9428,8.1355,651.200,1.6014,8.9169,2.2527
