user_id,x_m,y_m,z_m
0,0.000000000,0.000000000,0.000000000
1,497.512437305,0.000000000,-0.019425415
2,248.756218653,430.858409405,-0.019425415
3,-248.756218653,430.858409405,-0.019425415
4,-497.512437305,0.000000000,-0.019425415
5,-248.756218653,-430.858409405,-0.019425415
6,248.756218653,-430.858409405,-0.019425415
7,995.024871577,0.000000000,-0.077701656
8,861.716816183,497.512435788,-0.077701656
9,497.512435788,861.716816183,-0.077701656
10,0.000000000,995.024871577,-0.077701656
11,-497.512435788,861.716816183,-0.077701656
12,-861.716816183,497.512435788,-0.077701656
13,-995.024871577,0.000000000,-0.077701656
14,-861.716816183,-497.512435788,-0.077701656
15,-497.512435788,-861.716816183,-0.077701656
16,-0.000000000,-995.024871577,-0.077701656
17,497.512435788,-861.716816183,-0.077701656
18,861.716816183,-497.512435788,-0.077701656
19,1492.537299780,0.000000000,-0.174828725
20,1402.526286851,510.477821190,-0.174828725
21,1143.349904645,959.384483294,-0.174828725
22,746.268649890,1292.575217706,-0.174828725
23,259.176382207,1469.862304484,-0.174828725
24,-259.176382207,1469.862304484,-0.174828725
25,-746.268649890,1292.575217706,-0.174828725
26,-1143.349904645,959.384483294,-0.174828725
27,-1402.526286851,510.477821190,-0.174828725
28,-1492.537299780,0.000000000,-0.174828725
29,-1402.526286851,-510.477821190,-0.174828725
30,-1143.349904645,-959.384483294,-0.174828725
31,-746.268649890,-1292.575217706,-0.174828725
32,-259.176382207,-1469.862304484,-0.174828725
33,259.176382207,-1469.862304484,-0.174828725
34,746.268649890,-1292.575217706,-0.174828725
35,1143.349904645,-959.384483294,-0.174828725
36,1402.526286851,-510.477821190,-0.174828725
37,1990.049718883,0.000000000,-0.310806623
38,1922.240419068,515.062767948,-0.310806623
39,1723.433611346,995.024859441,-0.310806623
40,1407.177651120,1407.177651120,-0.310806623
41,995.024859441,1723.433611346,-0.310806623
42,515.062767948,1922.240419068,-0.310806623
43,0.000000000,1990.049718883,-0.310806623
44,-515.062767948,1922.240419068,-0.310806623
45,-995.024859441,1723.433611346,-0.310806623
46,-1407.177651120,1407.177651120,-0.310806623
47,-1723.433611346,995.024859441,-0.310806623
48,-1922.240419068,515.062767948,-0.310806623
49,-1990.049718883,0.000000000,-0.310806623
50,-1922.240419068,-515.062767948,-0.310806623
51,-1723.433611346,-995.024859441,-0.310806623
52,-1407.177651120,-1407.177651120,-0.310806623
53,-995.024859441,-1723.433611346,-0.310806623
54,-515.062767948,-1922.240419068,-0.310806623
55,-0.000000000,-1990.049718883,-0.310806623
56,515.062767948,-1922.240419068,-0.310806623
57,995.024859441,-1723.433611346,-0.310806623
58,1407.177651120,-1407.177651120,-0.310806623
59,1723.433611346,-995.024859441,-0.310806623
60,1922.240419068,-515.062767948,-0.310806623
61,2487.562125849,0.000000000,-0.485635345
62,2433.202925076,517.193247600,-0.485635345
63,2272.501080673,1011.782668510,-0.485635345
64,2012.480034375,1462.152331735,-0.485635345
65,1664.503953625,1848.618921878,-0.485635345
66,1243.781062925,2154.291994477,-0.485635345
67,768.698971451,2365.812169478,-0.485635345
68,260.021046298,2473.935000246,-0.485635345
69,-260.021046298,2473.935000246,-0.485635345
70,-768.698971451,2365.812169478,-0.485635345
71,-1243.781062925,2154.291994477,-0.485635345
72,-1664.503953625,1848.618921878,-0.485635345
73,-2012.480034375,1462.152331735,-0.485635345
74,-2272.501080673,1011.782668510,-0.485635345
75,-2433.202925076,517.193247600,-0.485635345
76,-2487.562125849,0.000000000,-0.485635345
77,-2433.202925076,-517.193247600,-0.485635345
78,-2272.501080673,-1011.782668510,-0.485635345
79,-2012.480034375,-1462.152331735,-0.485635345
80,-1664.503953625,-1848.618921878,-0.485635345
81,-1243.781062925,-2154.291994477,-0.485635345
82,-768.698971451,-2365.812169478,-0.485635345
83,-260.021046298,-2473.935000246,-0.485635345
84,260.021046298,-2473.935000246,-0.485635345
85,768.698971451,-2365.812169478,-0.485635345
86,1243.781062925,-2154.291994477,-0.485635345
87,1664.503953625,-1848.618921878,-0.485635345
88,2012.480034375,-1462.152331735,-0.485635345
89,2272.501080673,-1011.782668510,-0.485635345
90,2433.202925076,-517.193247600,-0.485635345
91,2985.074517646,0.000000000,-0.699314893
92,2939.724528297,518.352750189,-0.699314893
93,2805.052496728,1020.955614363,-0.699314893
94,2585.150364471,1492.537258823,-0.699314893
95,2286.699746539,1918.768913934,-0.699314893
