row,col,cx_m,cy_m,in_footprint,coverage_i_s,mean_snr_i_dB,max_snr_i_dB,coverage_i1_s,mean_snr_i1_dB,max_snr_i1_dB,greedy_mean_snr_dB
0,0,-56568.542,-56568.542,1,372.300,1.7560,8.5622,651.200,1.1083,7.6120,1.8932
0,1,-28284.271,-56568.542,1,372.300,1.7924,8.1290,651.200,1.8626,9.5188,2.4403
0,2,0.000,-56568.542,1,372.300,2.2913,8.1070,651.200,2.0997,9.0475,2.8094
0,3,28284.271,-56568.542,1,372.300,1.7875,8.5766,651.200,1.6792,7.1932,2.2931
0,4,56568.542,-56568.542,1,372.300,0.5944,6.2814,651.200,1.2086,7.8030,1.4725
1,0,-56568.542,-28284.271,1,372.300,2.5994,8.7815,651.200,2.5600,8.6771,3.2709
1,1,-28284.271,-28284.271,1,372.300,2.8500,8.0999,651.200,3.0781,9.8465,3.7306
1,2,0.000,-28284.271,1,372.300,3.0676,9.0174,651.200,3.0482,9.7452,3.7890
1,3,28284.271,-28284.271,1,372.300,3.2328,9.4913,651.200,2.8076,7.6904,3.6858
1,4,56568.542,-28284.271,1,372.300,2.6488,8.2920,651.200,2.5861,8.6931,3.2913
2,0,-56568.542,0.000,1,372.300,2.9268,8.3009,651.200,2.7704,7.9469,3.5345
2,1,-28284.271,0.000,1,372.300,3.1191,8.8306,651.200,3.0416,9.1178,3.8017
2,2,0.000,0.000,1,372.300,3.6057,9.3601,651.200,3.4145,10.0206,4.2575
2,3,28284.271,0.000,1,372.300,3.2091,8.9947,651.200,3.0571,9.1711,3.8458
2,4,56568.542,0.000,1,372.300,3.0223,8.0976,651.200,2.9217,8.7605,3.6743
3,0,-56568.542,28284.271,1,372.300,2.9582,8.4264,651.200,2.5251,7.8763,3.3559
3,1,-28284.271,28284.271,1,372.300,3.4144,9.1230,651.200,2.9668,9.0432,3.8526
3,2,0.000,28284.271,1,372.300,3.3859,9.0628,651.200,3.1078,9.7888,3.9359
3,3,28284.271,28284.271,1,372.300,3.3143,8.1365,651.200,3.1151,9.8720,3.9172
3,4,56568.542,28284.271,1,372.300,2.8856,8.2837,651.200,2.8797,9.9088,3.5805
4,0,-56568.542,56568.542,1,372.300,0.8029,6.4160,651.200,1.0016,6.3970,1.3657
4,1,-28284.271,56568.542,1,372.300,2.1562,8.2720,651.200,1.8153,8.4088,2.4942
4,2,0.000,56568.542,1,372.300,2.7970,8.4396,651.200,2.2543,9.3772,3.0740
4,3,28284.271,56568.542,1,372.300,2.3898,7.8439,651.200,1.9872,9.6116,2.7167
4,4,56568.542,56568.542,1,372.300,1.8607,8.1407,651.200,1.5289,8.9073,2.1806
