row,col,cx_m,cy_m,in_footprint,coverage_s,mean_snr_dB,min_snr_dB,max_snr_dB
0,0,-56568.542,-56568.542,1,0.000,0.0000,0.0000,0.0000
0,1,-28284.271,-56568.542,1,0.000,0.0000,0.0000,0.0000
0,2,0.000,-56568.542,1,0.000,0.0000,0.0000,0.0000
0,3,28284.271,-56568.542,1,0.000,0.0000,0.0000,0.0000
0,4,56568.542,-56568.542,1,0.000,0.0000,0.0000,0.0000
1,0,-56568.542,-28284.271,1,0.000,0.0000,0.0000,0.0000
1,1,-28284.271,-28284.271,1,0.000,0.0000,0.0000,0.0000
1,2,0.000,-28284.271,1,0.000,0.0000,0.0000,0.0000
1,3,28284.271,-28284.271,1,0.000,0.0000,0.0000,0.0000
1,4,56568.542,-28284.271,1,0.000,0.0000,0.0000,0.0000
2,0,-56568.542,0.000,1,0.000,0.0000,0.0000,0.0000
2,1,-28284.271,0.000,1,0.000,0.0000,0.0000,0.0000
2,2,0.000,0.000,1,0.000,0.0000,0.0000,0.0000
2,3,28284.271,0.000,1,0.000,0.0000,0.0000,0.0000
2,4,56568.542,0.000,1,0.000,0.0000,0.0000,0.0000
3,0,-56568.542,28284.271,1,0.000,0.0000,0.0000,0.0000
3,1,-28284.271,28284.271,1,0.000,0.0000,0.0000,0.0000
3,2,0.000,28284.271,1,0.000,0.0000,0.0000,0.0000
3,3,28284.271,28284.271,1,0.000,0.0000,0.0000,0.0000
3,4,56568.542,28284.271,1,0.000,0.0000,0.0000,0.0000
4,0,-56568.542,56568.542,1,0.000,0.0000,0.0000,0.0000
4,1,-28284.271,56568.542,1,0.000,0.0000,0.0000,0.0000
4,2,0.000,56568.542,1,0.000,0.0000,0.0000,0.0000
4,3,28284.271,56568.542,1,0.000,0.0000,0.0000,0.0000
4,4,56568.542,56568.542,1,0.000,0.0000,0.0000,0.0000
