time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.000000,0,0,-56568.542,-56568.542,53.8830,1,180.2000,35.2822,-4.0758,-8.7039
0.000000,0,1,-28284.271,-56568.542,53.8830,1,180.0203,36.3963,-2.7820,-7.2368
0.000000,0,2,0.000,-56568.542,53.8830,1,179.8892,37.7194,-1.3279,-5.3697
0.000000,0,3,28284.271,-56568.542,53.8830,1,179.7678,34.6323,-4.2935,-8.3533
0.000000,0,4,56568.542,-56568.542,53.8830,1,179.6567,32.0824,-6.7324,-9.7729
0.000000,1,0,-56568.542,-28284.271,53.8830,1,180.3341,45.5369,6.0448,-5.3443
0.000000,1,1,-28284.271,-28284.271,53.8830,1,180.1984,45.2385,5.8821,-6.7001
0.000000,1,2,0.000,-28284.271,53.8830,1,180.0313,46.0343,6.8450,-5.6059
0.000000,1,3,28284.271,-28284.271,53.8830,1,179.9135,45.7343,6.6627,-5.1244
0.000000,1,4,56568.542,-28284.271,53.8830,1,179.8060,43.1701,4.2061,-6.8416
0.000000,2,0,-56568.542,0.000,53.8830,1,180.4760,47.5534,7.9194,-6.1923
0.000000,2,1,-28284.271,0.000,53.8830,1,180.3445,47.6514,8.1490,-6.9017
0.000000,2,2,0.000,0.000,53.8830,1,180.2213,47.7125,8.3331,-7.0599
0.000000,2,3,28284.271,0.000,53.8830,1,180.0674,47.5849,8.3595,-6.8845
0.000000,2,4,56568.542,0.000,53.8830,1,179.9634,47.0039,7.8826,-6.5077
0.000000,3,0,-56568.542,28284.271,53.8830,1,180.6250,44.2601,4.4771,-6.6543
0.000000,3,1,-28284.271,28284.271,53.8830,1,180.4976,45.8902,6.2346,-5.4766
0.000000,3,2,0.000,28284.271,53.8830,1,180.3785,46.0545,6.5180,-5.7099
0.000000,3,3,28284.271,28284.271,53.8830,1,180.2684,45.5672,6.1408,-5.9358
0.000000,3,4,56568.542,28284.271,53.8830,1,180.1679,44.7086,5.3827,-5.6547
0.000000,4,0,-56568.542,56568.542,53.8830,1,180.7802,36.2263,-3.7120,-7.0462
0.000000,4,1,-28284.271,56568.542,53.8830,1,180.6570,37.5312,-2.2838,-6.8006
0.000000,4,2,0.000,56568.542,53.8830,1,180.5420,39.0723,-0.6277,-5.3520
0.000000,4,3,28284.271,56568.542,53.8830,1,180.4357,38.0564,-1.5373,-6.3798
0.000000,4,4,56568.542,56568.542,53.8830,1,180.3388,36.2269,-3.2699,-7.8434
0.100000,0,0,-56568.542,-56568.542,53.9208,1,180.1969,35.2711,-4.0838,-8.7088
0.100000,0,1,-28284.271,-56568.542,53.9208,1,180.0171,36.3982,-2.7769,-7.2266
0.100000,0,2,0.000,-56568.542,53.9208,1,179.8860,37.7332,-1.3109,-5.3554
0.100000,0,3,28284.271,-56568.542,53.9208,1,179.7644,34.6304,-4.2920,-8.3590
0.100000,0,4,56568.542,-56568.542,53.9208,1,179.6533,32.1364,-6.6749,-9.7255
0.100000,1,0,-56568.542,-28284.271,53.9208,1,180.3307,45.5469,6.0581,-5.3277
0.100000,1,1,-28284.271,-28284.271,53.9208,1,180.1950,45.2364,5.8834,-6.6970
0.100000,1,2,0.000,-28284.271,53.9208,1,180.0278,46.0400,6.8542,-5.5875
0.100000,1,3,28284.271,-28284.271,53.9208,1,179.9099,45.7401,6.6722,-5.0999
0.100000,1,4,56568.542,-28284.271,53.9208,1,179.8023,43.1693,4.2090,-6.8227
0.100000,2,0,-56568.542,0.000,53.9208,1,180.4725,47.5533,7.9228,-6.1888
0.100000,2,1,-28284.271,0.000,53.9208,1,180.3408,47.6514,8.1525,-6.8972
0.100000,2,2,0.000,0.000,53.9208,1,180.2176,47.7125,8.3368,-7.0546
0.100000,2,3,28284.271,0.000,53.9208,1,180.0636,47.5847,8.3631,-6.8806
0.100000,2,4,56568.542,0.000,53.9208,1,179.9595,47.0031,7.8856,-6.5050
0.100000,3,0,-56568.542,28284.271,53.9208,1,180.6212,44.2531,4.4738,-6.6447
0.100000,3,1,-28284.271,28284.271,53.9208,1,180.4938,45.8939,6.2421,-5.4562
0.100000,3,2,0.000,28284.271,53.9208,1,180.3746,46.0594,6.5268,-5.6930
0.100000,3,3,28284.271,28284.271,53.9208,1,180.2644,45.5703,6.1479,-5.9245
0.100000,3,4,56568.542,28284.271,53.9208,1,180.1639,44.7090,5.3871,-5.6465
0.100000,4,0,-56568.542,56568.542,53.9208,1,180.7763,36.2095,-3.7248,-7.0504
0.100000,4,1,-28284.271,56568.542,53.9208,1,180.6530,37.5261,-2.2850,-6.7943
0.100000,4,2,0.000,56568.542,53.9208,1,180.5379,39.0765,-0.6194,-5.3374
0.100000,4,3,28284.271,56568.542,53.9208,1,180.4315,38.0538,-1.5357,-6.3713
0.100000,4,4,56568.542,56568.542,53.9208,1,180.3346,36.2148,-3.2778,-7.8441
0.200000,0,0,-56568.542,-56568.542,53.9587,1,180.1938,35.2599,-4.0919,-8.7137
0.200000,0,1,-28284.271,-56568.542,53.9587,1,180.0139,36.4001,-2.7718,-7.2164
0.200000,0,2,0.000,-56568.542,53.9587,1,179.8827,37.7469,-1.2938,-5.3413
0.200000,0,3,28284.271,-56568.542,53.9587,1,179.7611,34.6286,-4.2905,-8.3648
0.200000,0,4,56568.542,-56568.542,53.9587,1,179.6499,32.1896,-6.6183,-9.6791
0.200000,1,0,-56568.542,-28284.271,53.9587,1,180.3274,45.5569,6.0714,-5.3112
0.200000,1,1,-28284.271,-28284.271,53.9587,1,180.1916,45.2344,5.8848,-6.6938
0.200000,1,2,0.000,-28284.271,53.9587,1,180.0243,46.0457,6.8634,-5.5691
0.200000,1,3,28284.271,-28284.271,53.9587,1,179.9064,45.7460,6.6816,-5.0754
0.200000,1,4,56568.542,-28284.271,53.9587,1,179.7986,43.1686,4.2119,-6.8038
0.200000,2,0,-56568.542,0.000,53.9587,1,180.4689,47.5532,7.9262,-6.1852
0.200000,2,1,-28284.271,0.000,53.9587,1,180.3372,47.6513,8.1561,-6.8927
0.200000,2,2,0.000,0.000,53.9587,1,180.2139,47.7125,8.3405,-7.0492
0.200000,2,3,28284.271,0.000,53.9587,1,180.0598,47.5846,8.3668,-6.8766
0.200000,2,4,56568.542,0.000,53.9587,1,179.9556,47.0022,7.8886,-6.5023
0.200000,3,0,-56568.542,28284.271,53.9587,1,180.6175,44.2460,4.4705,-6.6351
0.200000,3,1,-28284.271,28284.271,53.9587,1,180.4900,45.8977,6.2497,-5.4358
0.200000,3,2,0.000,28284.271,53.9587,1,180.3707,46.0643,6.5356,-5.6760
0.200000,3,3,28284.271,28284.271,53.9587,1,180.2604,45.5733,6.1549,-5.9131
0.200000,3,4,56568.542,28284.271,53.9587,1,180.1598,44.7094,5.3916,-5.6383
0.200000,4,0,-56568.542,56568.542,53.9587,1,180.7724,36.1928,-3.7376,-7.0551
0.200000,4,1,-28284.271,56568.542,53.9587,1,180.6491,37.5210,-2.2861,-6.7883
