row,col,cx_m,cy_m,in_footprint,coverage_s,mean_snr_dB,min_snr_dB,max_snr_dB
0,0,-56568.542,-56568.542,1,372.300,1.7560,-5.6476,8.5622
0,1,-28284.271,-56568.542,1,372.300,1.7924,-5.5767,8.1290
0,2,0.000,-56568.542,1,372.300,2.2913,-5.5033,8.1070
0,3,28284.271,-56568.542,1,372.300,1.7875,-5.4594,8.5766
0,4,56568.542,-56568.542,1,372.300,0.5944,-6.7324,6.2814
1,0,-56568.542,-28284.271,1,372.300,2.5994,-5.3926,8.7815
1,1,-28284.271,-28284.271,1,372.300,2.8500,-5.2718,8.0999
1,2,0.000,-28284.271,1,372.300,3.0676,-5.1928,9.0174
1,3,28284.271,-28284.271,1,372.300,3.2328,-5.1969,9.4913
1,4,56568.542,-28284.271,1,372.300,2.6488,-5.1974,8.2920
2,0,-56568.542,0.000,1,372.300,2.9268,-5.0660,8.3009
2,1,-28284.271,0.000,1,372.300,3.1191,-5.0050,8.8306
2,2,0.000,0.000,1,372.300,3.6057,-4.9171,9.3601
2,3,28284.271,0.000,1,372.300,3.2091,-4.9489,8.9947
2,4,56568.542,0.000,1,372.300,3.0223,-4.9556,8.0976
3,0,-56568.542,28284.271,1,372.300,2.9582,-4.7773,8.4264
3,1,-28284.271,28284.271,1,372.300,3.4144,-4.7343,9.1230
3,2,0.000,28284.271,1,372.300,3.3859,-4.6735,9.0628
3,3,28284.271,28284.271,1,372.300,3.3143,-4.6940,8.1365
3,4,56568.542,28284.271,1,372.300,2.8856,-4.7413,8.2837
4,0,-56568.542,56568.542,1,372.300,0.8029,-5.1990,6.4160
4,1,-28284.271,56568.542,1,372.300,2.1562,-4.4689,8.2720
4,2,0.000,56568.542,1,372.300,2.7970,-4.4604,8.4396
4,3,28284.271,56568.542,1,372.300,2.3898,-4.4661,7.8439
4,4,56568.542,56568.542,1,372.300,1.8607,-4.5150,8.1407
