time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,0,9,177.925450107,9.005481279,10.628975490,47.712463990
385.370000000,38537,89.997547754,1,14,177.940532249,-1.920519967,6.095270010,43.193840652
385.370000000,38537,89.997547754,2,10,177.940542865,-2.448607643,6.310363925,43.408945184
385.370000000,38537,89.997547754,3,10,177.940564098,-2.448687425,6.310328346,43.408930838
385.370000000,38537,89.997547754,4,5,177.940574715,-1.920547990,6.095277865,43.193890974
385.370000000,38537,89.997547754,5,8,177.940564098,-2.448687629,6.310327578,43.408930069
385.370000000,38537,89.997547754,6,8,177.940542865,-2.448607847,6.310363156,43.408944415
385.370000000,38537,89.997547754,7,17,177.985523918,8.230754790,10.502220979,47.645783290
385.370000000,38537,89.997547754,8,18,177.985529551,2.559441771,8.805485941,45.949053885
385.370000000,38537,89.997547754,9,15,177.985544943,9.128844039,10.502239438,47.645822774
385.370000000,38537,89.997547754,10,11,177.985565967,4.090579498,8.776711618,45.920315978
385.370000000,38537,89.997547754,11,6,177.985586992,9.128750680,10.502199277,47.645824663
385.370000000,38537,89.997547754,12,2,177.985602383,2.559296865,8.805509050,45.949149826
385.370000000,38537,89.997547754,13,1,177.985608016,8.230482769,10.502140663,47.645787073
385.370000000,38537,89.997547754,14,0,177.985602383,2.559297842,8.805508339,45.949149115
385.370000000,38537,89.997547754,15,3,177.985586992,9.128752589,10.502199235,47.645824620
385.370000000,38537,89.997547754,16,7,177.985565967,4.090582848,8.776710132,45.920314493
385.370000000,38537,89.997547754,17,12,177.985544943,9.128845949,10.502239396,47.645822732
385.370000000,38537,89.997547754,18,16,177.985529551,2.559442748,8.805485231,45.949053175
385.370000000,38537,89.997547754,19,17,178.059552197,-3.468527185,-1.773929651,35.443660939
385.370000000,38537,89.997547754,20,18,178.059555939,0.890519467,3.238889205,40.456483538
385.370000000,38537,89.997547754,21,18,178.059566716,1.784583333,3.288675075,40.506280184
385.370000000,38537,89.997547754,22,15,178.059583226,-2.709282152,-0.133391006,37.084230613
385.370000000,38537,89.997547754,23,11,178.059603480,2.260707066,3.801954853,41.019596726
385.370000000,38537,89.997547754,24,11,178.059625033,2.260836383,3.802148129,41.019811555
385.370000000,38537,89.997547754,25,6,178.059645286,-2.708909808,-0.133032235,37.084651444
385.370000000,38537,89.997547754,26,2,178.059661796,1.784744253,3.288828164,40.506528353
385.370000000,38537,89.997547754,27,2,178.059672572,0.890875551,3.239310308,40.457021274
385.370000000,38537,89.997547754,28,1,178.059676315,-3.467568840,-1.772758204,35.444956504
385.370000000,38537,89.997547754,29,0,178.059672572,0.890876329,3.239310153,40.457021118
385.370000000,38537,89.997547754,30,0,178.059661796,1.784740030,3.288822417,40.506522606
385.370000000,38537,89.997547754,31,3,178.059645286,-2.708920441,-0.133042824,37.084640856
385.370000000,38537,89.997547754,32,7,178.059625033,2.260832617,3.802143173,41.019806599
385.370000000,38537,89.997547754,33,7,178.059603480,2.260703301,3.801949898,41.019591771
385.370000000,38537,89.997547754,34,12,178.059583226,-2.709292785,-0.133401594,37.084220026
385.370000000,38537,89.997547754,35,16,178.059566716,1.784579110,3.288669328,40.506274437
385.370000000,38537,89.997547754,36,16,178.059555939,0.890520244,3.238889049,40.456483381
