user_id, x_m             , y_m             , z_m
      0, 0.000000000     , 0.000000000     , 0.000000000
      1, 33333.181254357 , 0.000000000     , -87.200484732
      2, 16666.590627178 , 28867.381755224 , -87.200484732
      3, -16666.590627178, 28867.381755224 , -87.200484732
      4, -33333.181254357, 0.000000000     , -87.200484732
      5, -16666.590627178, -28867.381755224, -87.200484732
      6, 16666.590627178 , -28867.381755224, -87.200484732
      7, 66665.450039851 , 0.000000000     , -348.799551887
      8, 57733.973289233 , 33332.725019925 , -348.799551887
      9, 33332.725019925 , 57733.973289233 , -348.799551887
     10, 0.000000000     , 66665.450039851 , -348.799551887
     11, -33332.725019925, 57733.973289233 , -348.799551887
     12, -57733.973289233, 33332.725019925 , -348.799551887
     13, -66665.450039851, 0.000000000     , -348.799551887
     14, -57733.973289233, -33332.725019925, -348.799551887
     15, -33332.725019925, -57733.973289233, -348.799551887
     16, -0.000000000    , -66665.450039851, -348.799551887
     17, 33332.725019925 , -57733.973289233, -348.799551887
     18, 57733.973289233 , -33332.725019925, -348.799551887
     19, 99995.893912597 , 0.000000000     , -784.790040401
     20, 93965.403618558 , 34200.609967965 , -784.790040401
     21, 76601.298866460 , 64276.121626547 , -784.790040401
     22, 49997.946956298 , 86598.984402443 , -784.790040401
     23, 17364.104752098 , 98476.731594512 , -784.790040401
     24, -17364.104752098, 98476.731594512 , -784.790040401
     25, -49997.946956298, 86598.984402443 , -784.790040401
     26, -76601.298866460, 64276.121626547 , -784.790040401
     27, -93965.403618558, 34200.609967965 , -784.790040401
     28, -99995.893912597, 0.000000000     , -784.790040401
     29, -93965.403618558, -34200.609967965, -784.790040401
     30, -76601.298866460, -64276.121626547, -784.790040401
     31, -49997.946956298, -86598.984402443, -784.790040401
     32, -17364.104752098, -98476.731594512, -784.790040401
     33, 17364.104752098 , -98476.731594512, -784.790040401
     34, 49997.946956298 , -86598.984402443, -784.790040401
     35, 76601.298866460 , -64276.121626547, -784.790040401
     36, 93965.403618558 , -34200.609967965, -784.790040401
