user_id,x_m,y_m,z_m
0,0.000000000,0.000000000,0.000000000
1,497.512437305,0.000000000,-0.019425415
2,248.756218653,430.858409405,-0.019425415
3,-248.756218653,430.858409405,-0.019425415
4,-497.512437305,0.000000000,-0.019425415
5,-248.756218653,-430.858409405,-0.019425415
6,248.756218653,-430.858409405,-0.019425415
7,995.024871577,0.000000000,-0.077701656
8,861.716816183,497.512435788,-0.077701656
9,497.512435788,861.716816183,-0.077701656
10,0.000000000,995.024871577,-0.077701656
11,-497.512435788,861.716816183,-0.077701656
12,-861.716816183,497.512435788,-0.077701656
13,-995.024871577,0.000000000,-0.077701656
14,-861.716816183,-497.512435788,-0.077701656
15,-497.512435788,-861.716816183,-0.077701656
16,-0.000000000,-995.024871577,-0.077701656
17,497.512435788,-861.716816183,-0.077701656
18,861.716816183,-497.512435788,-0.077701656
19,1492.537299780,0.000000000,-0.174828725
20,1402.526286851,510.477821190,-0.174828725
21,1143.349904645,959.384483294,-0.174828725
22,746.268649890,1292.575217706,-0.174828725
23,259.176382207,1469.862304484,-0.174828725
24,-259.176382207,1469.862304484,-0.174828725
25,-746.268649890,1292.575217706,-0.174828725
26,-1143.349904645,959.384483294,-0.174828725
27,-1402.526286851,510.477821190,-0.174828725
28,-1492.537299780,0.000000000,-0.174828725
29,-1402.526286851,-510.477821190,-0.174828725
30,-1143.349904645,-959.384483294,-0.174828725
31,-746.268649890,-1292.575217706,-0.174828725
32,-259.176382207,-1469.862304484,-0.174828725
33,259.176382207,-1469.862304484,-0.174828725
34,746.268649890,-1292.575217706,-0.174828725
35,1143.349904645,-959.384483294,-0.174828725
36,1402.526286851,-510.477821190,-0.174828725
