# satellite_orbit.csv ¡X generated by run_sgp4.py
# coord_note: sat_lat_deg is GEODETIC (WGS72), converted from ephem geocentric
# coord_note: sat_alt_m   is height above WGS72 ellipsoid
# coord_note: elevation_deg/azimuth_deg are from ephem observer (correct)
# satellite : iridium-75 45
# tle_file  : 2D/data/tle/iridium.txt
# start_utc : 2000/01/01 00:00:00
# observer  : lat=35.676 lon=139.65
# window_start_s : 0.0
# window_end_s   : 1030.0
# step_ms   : 100.0
# rows      : 10301
time_s,sat_lat_deg,sat_lon_deg,sat_alt_m,elevation_deg,azimuth_deg
0.0,32.716676207,142.336292869,639907.571,53.88298,142.223581
0.1,32.722845866,142.336429473,639910.783,53.920816,142.165716
0.2,32.729012093,142.336552416,639913.995,53.958655,142.1077
0.3,32.735181737,142.336675359,639917.145,53.996494,142.049521
0.4,32.741351373,142.336811963,639920.358,54.034333,141.991204
0.5,32.747521004,142.336934907,639923.509,54.072169,141.932711
0.6,32.753687201,142.33705785,639926.722,54.110009,141.87408
0.7,32.759856815,142.337194454,639929.936,54.147844,141.815286
0.8,32.766026423,142.337317397,639933.087,54.18568,141.756328
0.9,32.772196022,142.337440341,639936.301,54.223516,141.697219
1.0,32.778362192,142.337576944,639939.452,54.261348,141.637961
1.1,32.784531776,142.337699888,639942.667,54.299181,141.578538
1.2,32.790701353,142.337836492,639945.882,54.337013,141.518951
1.3,32.7968675,142.337959435,639949.033,54.374842,141.459201
1.4,32.803037063,142.338082378,639952.248,54.412668,141.3993
1.5,32.809206617,142.338218982,639955.464,54.450493,141.339236
1.6,32.815376166,142.338341926,639958.617,54.488316,141.279021
1.7,32.821542283,142.338478529,639961.832,54.526138,141.218628
1.8,32.827711815,142.338601473,639965.048,54.563953,141.158085
1.9,32.833881342,142.338724416,639968.201,54.601768,141.097365
2.0,32.84005086,142.33886102,639971.418,54.63958,141.036494
2.1,32.846216947,142.338983963,639974.633,54.677389,140.97546
2.2,32.852386452,142.339120567,639977.788,54.715194,140.914261
2.3,32.858555947,142.33924351,639981.005,54.752992,140.852885
2.4,32.864722012,142.339380114,639984.221,54.790791,140.791359
2.5,32.870891495,142.339503058,639987.376,54.828582,140.729668
2.6,32.877060968,142.339639661,639990.594,54.86637,140.667801
2.7,32.883230434,142.339762605,639993.812,54.904155,140.605769
2.8,32.889396471,142.339899209,639996.966,54.941936,140.543573
2.9,32.895565922,142.340022152,640000.184,54.97971,140.481213
3.0,32.901735366,142.340158756,640003.403,55.017478,140.418676
3.1,32.907904805,142.340281699,640006.559,55.055242,140.355975
3.2,32.91407081,142.340404643,640009.777,55.093003,140.293096
3.3,32.920240232,142.340541246,640012.996,55.130756,140.230067
3.4,32.926409648,142.34067785,640016.153,55.168503,140.166847
3.5,32.932575631,142.340800794,640019.371,55.206244,140.103463
3.6,32.938745031,142.340937397,640022.591,55.243977,140.039915
3.7,32.944914423,142.341060341,640025.811,55.281707,139.976189
3.8,32.95108381,142.341196945,640028.969,55.319427,139.912286
3.9,32.957249763,142.341319888,640032.188,55.35714,139.848219
4.0,32.963419133,142.341456492,640035.408,55.394849,139.783974
4.1,32.969588498,142.341579435,640038.566,55.432548,139.719552
4.2,32.975757853,142.341716039,640041.787,55.470241,139.654966
4.3,32.981923777,142.341838982,640045.007,55.507926,139.590202
4.4,32.988093118,142.341975586,640048.229,55.545602,139.525247
4.5,32.994262452,142.34211219,640051.388,55.58327,139.460128
4.6,33.000428354,142.342235133,640054.608,55.620928,139.394831
4.7,33.006597672,142.342371737,640057.83,55.65858,139.329357
4.8,33.012766983,142.342494681,640061.053,55.696221,139.263705
4.9,33.018936288,142.342631284,640064.212,55.733855,139.197876
5.0,33.025102161,142.342754228,640067.434,55.771476,139.131855
5.1,33.031271449,142.342890831,640070.657,55.80909,139.06567
5.2,33.03744073,142.343027435,640073.88,55.846697,138.999295
5.3,33.043606582,142.343150379,640077.039,55.88429,138.932741
5.4,33.049775848,142.343286982,640080.262,55.921873,138.86601
5.5,33.055945107,142.343423586,640083.486,55.959446,138.799102
5.6,33.062114359,142.34354653,640086.71,55.997009,138.732002
5.7,33.06828018,142.343683133,640089.933,56.034561,138.664725
5.8,33.074449418,142.343806077,640093.094,56.0721,138.597256
5.9,33.080618647,142.343942681,640096.319,56.109628,138.52961
6.0,33.086784446,142.344079284,640099.542,56.147147,138.461772
6.1,33.09295366,142.344202228,640102.767,56.184651,138.393757
