# satellite_orbit.csv ¡X generated by run_sgp4.py
# coord_note: sat_lat_deg is GEODETIC (WGS72), converted from ephem geocentric
# coord_note: sat_alt_m   is height above WGS72 ellipsoid
# coord_note: elevation_deg/azimuth_deg are from ephem observer (correct)
# satellite : iridium-75 44
# tle_file  : 2D/data/tle/iridium.txt
# start_utc : 2000/01/01 00:00:00
# observer  : lat=35.676 lon=139.65
# window_start_s : 0.0
# window_end_s   : 1030.0
# step_ms   : 100.0
# rows      : 10301
time_s,sat_lat_deg,sat_lon_deg,sat_alt_m,elevation_deg,azimuth_deg
0.0,-0.122641302,140.024861231,632459.66,-9.526768,179.355986
0.1,-0.11645182,140.02482025,632458.838,-9.522164,179.355945
0.2,-0.110262331,140.024792929,632458.016,-9.51756,179.355905
0.3,-0.104072843,140.024765608,632457.195,-9.512954,179.355864
0.4,-0.097883387,140.024724627,632456.374,-9.508349,179.355809
0.5,-0.091693899,140.024697306,632455.554,-9.503743,179.355768
0.6,-0.085504403,140.024669986,632454.735,-9.499136,179.355727
0.7,-0.079314908,140.024642665,632453.916,-9.494529,179.355686
0.8,-0.073125412,140.024601684,632453.097,-9.489922,179.355645
0.9,-0.066935916,140.024574363,632452.279,-9.485313,179.355604
1.0,-0.060746414,140.024547042,632451.461,-9.480705,179.355549
1.1,-0.054556952,140.024519722,632450.644,-9.476096,179.355508
1.2,-0.048367453,140.02447874,632449.828,-9.471487,179.355467
1.3,-0.042177947,140.02445142,632449.011,-9.466876,179.355426
1.4,-0.035988441,140.024424099,632448.258,-9.462266,179.355385
1.5,-0.029798935,140.024383118,632447.443,-9.457655,179.355331
1.6,-0.023609428,140.024355797,632446.629,-9.453042,179.35529
1.7,-0.017419918,140.024328476,632445.814,-9.44843,179.355249
1.8,-0.011230408,140.024301155,632445.001,-9.443818,179.355208
1.9,-0.005040934,140.024260174,632444.188,-9.439205,179.355167
2.0,0.001148579,140.024232854,632443.375,-9.434592,179.355126
2.1,0.007338095,140.024205533,632442.563,-9.429977,179.355071
2.2,0.013527611,140.024178212,632441.814,-9.425362,179.35503
2.3,0.019717129,140.024137231,632441.003,-9.420748,179.354989
2.4,0.025906648,140.02410991,632440.192,-9.416132,179.354948
2.5,0.032096171,140.024082589,632439.382,-9.411516,179.354907
2.6,0.038285653,140.024041608,632438.572,-9.406899,179.354853
2.7,0.044475176,140.024014288,632437.763,-9.402282,179.354812
2.8,0.050664702,140.023986967,632437.017,-9.397664,179.354771
2.9,0.056854228,140.023959646,632436.208,-9.393046,179.35473
3.0,0.063043757,140.023918665,632435.401,-9.388427,179.354689
3.1,0.069233287,140.023891344,632434.593,-9.383808,179.354648
3.2,0.075422816,140.023864023,632433.849,-9.379188,179.354593
3.3,0.081612312,140.023836703,632433.043,-9.374569,179.354552
3.4,0.087801841,140.023795721,632432.237,-9.369948,179.354511
3.5,0.093991377,140.023768401,632431.432,-9.365327,179.35447
3.6,0.100180913,140.02374108,632430.627,-9.360705,179.354429
3.7,0.106370449,140.023713759,632429.886,-9.356083,179.354375
3.8,0.112559992,140.023672778,632429.082,-9.35146,179.354334
3.9,0.118749528,140.023645457,632428.279,-9.346836,179.354293
4.0,0.124939077,140.023618137,632427.538,-9.342213,179.354252
4.1,0.131128573,140.023577155,632426.736,-9.337589,179.354211
4.2,0.137318122,140.023549835,632425.934,-9.332964,179.354156
4.3,0.143507672,140.023522514,632425.133,-9.328339,179.354115
4.4,0.149697221,140.023495193,632424.395,-9.323713,179.354074
4.5,0.15588677,140.023454212,632423.595,-9.319087,179.354033
4.6,0.162076319,140.023426891,632422.795,-9.31446,179.353992
4.7,0.168265868,140.02339957,632422.058,-9.309833,179.353937
4.8,0.174455377,140.02337225,632421.259,-9.305205,179.353896
4.9,0.18064494,140.023331269,632420.461,-9.300576,179.353855
5.0,0.186834489,140.023303948,632419.726,-9.295948,179.353814
5.1,0.193024051,140.023276627,632418.928,-9.291318,179.35376
5.2,0.1992136,140.023235646,632418.132,-9.286688,179.353719
5.3,0.205403162,140.023208325,632417.398,-9.282058,179.353678
5.4,0.211592725,140.023181004,632416.602,-9.277427,179.353637
5.5,0.217782246,140.023153684,632415.869,-9.272795,179.353596
5.6,0.223971809,140.023112703,632415.074,-9.268164,179.353541
5.7,0.230161371,140.023085382,632414.28,-9.263531,179.3535
5.8,0.236350933,140.023058061,632413.549,-9.258899,179.353459
5.9,0.242540522,140.02303074,632412.755,-9.254265,179.353418
6.0,0.248730083,140.022989759,632412.025,-9.249631,179.353377
6.1,0.254919645,140.022962438,632411.233,-9.244997,179.353323
6.2,0.26110918,140.022935118,632410.441,-9.240361,179.353282
6.3,0.267298769,140.022894136,632409.712,-9.235726,179.353241
6.4,0.27348833,140.022866816,632408.921,-9.23109,179.3532
6.5,0.279677919,140.022839495,632408.193,-9.226453,179.353145
6.6,0.28586748,140.022812174,632407.403,-9.221817,179.353104
6.7,0.292057069,140.022771193,632406.676,-9.217179,179.353063
6.8,0.298246657,140.022743872,632405.887,-9.212541,179.353022
6.9,0.304436218,140.022716552,632405.162,-9.207903,179.352981
7.0,0.310625779,140.022689231,632404.374,-9.203263,179.352927
7.1,0.31681534,140.02264825,632403.649,-9.198624,179.352886
7.2,0.323004928,140.022620929,632402.862,-9.193984,179.352845
7.3,0.329194516,140.022593608,632402.138,-9.189343,179.352804
7.4,0.335384104,140.022552627,632401.352,-9.184701,179.352749
7.5,0.341573691,140.022525306,632400.629,-9.18006,179.352708
7.6,0.347763279,140.022497986,632399.844,-9.175418,179.352667
7.7,0.35395284,140.022470665,632399.122,-9.170775,179.352626
7.8,0.360142427,140.022429684,632398.338,-9.166132,179.352571
7.9,0.366332041,140.022402363,632397.617,-9.161488,179.35253
8.0,0.372521628,140.022375042,632396.834,-9.156844,179.352489
8.1,0.378711215,140.022347721,632396.115,-9.152199,179.352448
8.2,0.384900829,140.02230674,632395.333,-9.147554,179.352394
8.3,0.391090416,140.022279419,632394.614,-9.142908,179.352353
8.4,0.397279976,140.022252099,632393.895,-9.138261,179.352312
8.5,0.403469589,140.022224778,632393.115,-9.133615,179.352271
8.6,0.409659176,140.022183797,632392.397,-9.128967,179.352216
8.7,0.415848789,140.022156476,632391.618,-9.124319,179.352175
8.8,0.422038402,140.022129155,632390.901,-9.119671,179.352134
8.9,0.428228016,140.022088174,632390.123,-9.115022,179.352093
9.0,0.434417602,140.022060853,632389.407,-9.110373,179.352039
9.1,0.440607214,140.022033533,632388.692,-9.105722,179.351998
9.2,0.4467968,140.022006212,632387.915,-9.101072,179.351957
9.3,0.452986386,140.021965231,632387.201,-9.096421,179.351916
9.4,0.459175999,140.02193791,632386.488,-9.09177,179.351861
9.5,0.465365611,140.021910589,632385.712,-9.087118,179.35182
9.6,0.471555277,140.021883268,632385.0,-9.082465,179.351779
9.7,0.477744889,140.021842287,632384.288,-9.077811,179.351738
9.8,0.483934501,140.021814967,632383.514,-9.073158,179.351683
9.9,0.490124059,140.021787646,632382.803,-9.068504,179.351642
10.0,0.496313671,140.021746665,632382.092,-9.063849,179.351601
10.1,0.502503336,140.021719344,632381.32,-9.059194,179.351561
10.2,0.508692948,140.021692023,632380.61,-9.054538,179.351506
10.3,0.514882559,140.021664702,632379.901,-9.049882,179.351465
10.4,0.52107217,140.021623721,632379.13,-9.045225,179.351424
10.5,0.527261835,140.021596401,632378.422,-9.040567,179.351369
10.6,0.533451392,140.02156908,632377.714,-9.03591,179.351328
10.7,0.539641056,140.021541759,632377.007,-9.031252,179.351287
10.8,0.545830667,140.021500778,632376.238,-9.026593,179.351246
10.9,0.552020277,140.021473457,632375.532,-9.021933,179.351192
11.0,0.558209941,140.021446136,632374.826,-9.017273,179.351151
11.1,0.564399552,140.021418816,632374.121,-9.012612,179.35111
11.2,0.570589215,140.021377834,632373.354,-9.007951,179.351069
11.3,0.576778825,140.021350514,632372.65,-9.00329,179.351014
11.4,0.582968435,140.021323193,632371.947,-8.998628,179.350973
11.5,0.589158098,140.021282212,632371.243,-8.993966,179.350932
11.6,0.595347707,140.021254891,632370.478,-8.989302,179.350877
11.7,0.60153737,140.02122757,632369.776,-8.984638,179.350837
11.8,0.607727033,140.02120025,632369.075,-8.979974,179.350796
11.9,0.613916642,140.021159268,632368.373,-8.97531,179.350755
12.0,0.620106304,140.021131948,632367.673,-8.970644,179.3507
12.1,0.626295913,140.021104627,632366.973,-8.965979,179.350659
12.2,0.632485575,140.021077306,632366.211,-8.961312,179.350618
12.3,0.638675183,140.021036325,632365.511,-8.956646,179.350563
12.4,0.644864845,140.021009004,632364.813,-8.951978,179.350522
12.5,0.651054506,140.020981684,632364.115,-8.94731,179.350481
12.6,0.657244168,140.020954363,632363.417,-8.942642,179.35044
12.7,0.663433829,140.020913382,632362.72,-8.937973,179.350386
12.8,0.669623436,140.020886061,632361.961,-8.933303,179.350345
12.9,0.675813097,140.02085874,632361.264,-8.928633,179.350304
13.0,0.682002758,140.020817759,632360.569,-8.923963,179.350249
13.1,0.688192418,140.020790438,632359.874,-8.919292,179.350208
13.2,0.694382079,140.020763117,632359.179,-8.91462,179.350167
13.3,0.700571739,140.020735797,632358.485,-8.909948,179.350113
13.4,0.706761399,140.020694816,632357.791,-8.905276,179.350072
13.5,0.712951005,140.020667495,632357.098,-8.900602,179.350031
13.6,0.719140664,140.020640174,632356.405,-8.895929,179.34999
13.7,0.725330323,140.020612853,632355.713,-8.891254,179.349935
13.8,0.731520036,140.020571872,632355.021,-8.886579,179.349894
13.9,0.737709695,140.020544551,632354.267,-8.881904,179.349853
14.0,0.743899354,140.020517231,632353.577,-8.877228,179.349798
14.1,0.750089012,140.02048991,632352.886,-8.872551,179.349757
14.2,0.756278724,140.020448929,632352.197,-8.867875,179.349716
14.3,0.762468329,140.020421608,632351.507,-8.863198,179.349662
14.4,0.768657987,140.020394287,632350.819,-8.858519,179.349621
14.5,0.774847698,140.020353306,632350.13,-8.85384,179.34958
14.6,0.781037355,140.020325985,632349.443,-8.849161,179.349525
14.7,0.787227013,140.020298665,632348.755,-8.844482,179.349484
14.8,0.793416723,140.020271344,632348.069,-8.839802,179.349443
14.9,0.79960638,140.020230363,632347.382,-8.835121,179.349389
15.0,0.805796037,140.020203042,632346.697,-8.83044,179.349348
15.1,0.811985747,140.020175721,632346.011,-8.825758,179.349307
15.2,0.818175403,140.0201484,632345.326,-8.821076,179.349266
15.3,0.824365112,140.020107419,632344.642,-8.816393,179.349211
15.4,0.830554768,140.020080099,632343.958,-8.811709,179.34917
15.5,0.836744477,140.020052778,632343.338,-8.807025,179.349129
15.6,0.842934133,140.020025457,632342.655,-8.802341,179.349074
15.7,0.849123788,140.019984476,632341.972,-8.797656,179.349033
15.8,0.855313496,140.019957155,632341.291,-8.79297,179.348992
15.9,0.861503204,140.019929834,632340.609,-8.788284,179.348938
16.0,0.867692858,140.019888853,632339.928,-8.783598,179.348897
16.1,0.873882566,140.019861533,632339.248,-8.77891,179.348856
16.2,0.880072274,140.019834212,632338.568,-8.774222,179.348801
16.3,0.886261981,140.019806891,632337.889,-8.769534,179.34876
16.4,0.892451688,140.01976591,632337.21,-8.764845,179.348719
16.5,0.898641341,140.019738589,632336.532,-8.760156,179.348665
16.6,0.904831048,140.019711268,632335.916,-8.755467,179.348624
16.7,0.9110207,140.019683948,632335.239,-8.750776,179.348583
16.8,0.91721046,140.019642966,632334.562,-8.746085,179.348528
16.9,0.923400112,140.019615646,632333.886,-8.741393,179.348487
17.0,0.929589871,140.019588325,632333.21,-8.736702,179.348432
17.1,0.935779523,140.019561004,632332.535,-8.732008,179.348391
17.2,0.941969174,140.019520023,632331.86,-8.727316,179.34835
17.3,0.948158932,140.019492702,632331.248,-8.722622,179.348296
17.4,0.954348583,140.019465382,632330.574,-8.717928,179.348255
17.5,0.960538341,140.019438061,632329.9,-8.713233,179.348214
17.6,0.966727991,140.01939708,632329.228,-8.708537,179.348159
17.7,0.972917749,140.019369759,632328.555,-8.703842,179.348118
17.8,0.979107506,140.019342438,632327.946,-8.699145,179.348077
17.9,0.985297155,140.019301457,632327.274,-8.694448,179.348022
18.0,0.991486804,140.019274136,632326.603,-8.689751,179.347981
18.1,0.997676561,140.019246815,632325.933,-8.685053,179.347941
18.2,1.003866317,140.019219495,632325.263,-8.680354,179.347886
18.3,1.010055965,140.019178514,632324.656,-8.675655,179.347845
18.4,1.01624572,140.019151193,632323.987,-8.670955,179.34779
18.5,1.022435476,140.019123872,632323.319,-8.666255,179.347749
18.6,1.028625123,140.019096551,632322.651,-8.661554,179.347708
18.7,1.034814878,140.01905557,632322.046,-8.656853,179.347654
18.8,1.041004525,140.019028249,632321.379,-8.652152,179.347613
18.9,1.047194279,140.019000929,632320.712,-8.647449,179.347572
19.0,1.053384032,140.018973608,632320.109,-8.642745,179.347517
19.1,1.059573786,140.018932627,632319.443,-8.638042,179.347476
19.2,1.065763432,140.018905306,632318.778,-8.633338,179.347435
19.3,1.071953184,140.018877985,632318.176,-8.628633,179.34738
19.4,1.078142937,140.018850665,632317.512,-8.623928,179.347339
19.5,1.084332582,140.018809683,632316.849,-8.619222,179.347285
19.6,1.090522334,140.018782363,632316.186,-8.614516,179.347244
19.7,1.096712085,140.018755042,632315.586,-8.609809,179.347203
19.8,1.102901837,140.018727721,632314.924,-8.605102,179.347148
19.9,1.109091588,140.01868674,632314.262,-8.600394,179.347107
20.0,1.115281338,140.018659419,632313.664,-8.595685,179.347066
20.1,1.121470982,140.018632098,632313.003,-8.590977,179.347012
20.2,1.127660732,140.018591117,632312.406,-8.586267,179.346971
20.3,1.133850481,140.018563797,632311.746,-8.581557,179.346916
20.4,1.140040231,140.018536476,632311.087,-8.576846,179.346875
20.5,1.14622998,140.018509155,632310.491,-8.572135,179.346834
20.6,1.152419729,140.018468174,632309.833,-8.567423,179.346779
20.7,1.158609477,140.018440853,632309.238,-8.562711,179.346738
20.8,1.164799118,140.018413532,632308.581,-8.557998,179.346684
20.9,1.170988866,140.018386212,632307.924,-8.553285,179.346643
21.0,1.177178614,140.018345231,632307.331,-8.54857,179.346602
21.1,1.183368361,140.01831791,632306.675,-8.543855,179.346547
21.2,1.189558108,140.018290589,632306.082,-8.539141,179.346506
21.3,1.195747854,140.018263268,632305.428,-8.534425,179.346452
21.4,1.2019376,140.018222287,632304.836,-8.529708,179.346411
21.5,1.208127346,140.018194966,632304.183,-8.524992,179.34637
21.6,1.214317092,140.018167646,632303.53,-8.520274,179.346315
21.7,1.220506837,140.018140325,632302.939,-8.515557,179.346274
21.8,1.226696582,140.018099344,632302.287,-8.510838,179.346219
21.9,1.232886326,140.018072023,632301.698,-8.50612,179.346178
22.0,1.239076178,140.018044702,632301.047,-8.5014,179.346137
22.1,1.245265922,140.018017381,632300.459,-8.496679,179.346083
22.2,1.251455665,140.0179764,632299.809,-8.491959,179.346042
22.3,1.257645409,140.01794908,632299.222,-8.487237,179.345987
22.4,1.263835151,140.017921759,632298.572,-8.482516,179.345946
22.5,1.270024894,140.017894438,632297.986,-8.477793,179.345891
22.6,1.276214636,140.017853457,632297.338,-8.473071,179.34585
22.7,1.282404378,140.017826136,632296.753,-8.468347,179.345809
22.8,1.288594226,140.017798815,632296.168,-8.463623,179.345755
22.9,1.294783967,140.017771495,632295.522,-8.458898,179.345714
23.0,1.300973708,140.017730513,632294.938,-8.454173,179.345659
23.1,1.307163448,140.017703193,632294.292,-8.449448,179.345618
23.2,1.313353188,140.017675872,632293.71,-8.444721,179.345564
23.3,1.319543035,140.017648551,632293.065,-8.439994,179.345523
23.4,1.325732774,140.01760757,632292.483,-8.435267,179.345482
23.5,1.331922513,140.017580249,632291.902,-8.430539,179.345427
23.6,1.338112359,140.017552929,632291.259,-8.42581,179.345386
23.7,1.34430199,140.017525608,632290.679,-8.421081,179.345331
23.8,1.350491835,140.017484627,632290.036,-8.416351,179.34529
23.9,1.356681572,140.017457306,632289.457,-8.411621,179.345236
24.0,1.362871416,140.017429985,632288.878,-8.406891,179.345195
24.1,1.369061153,140.017389004,632288.238,-8.402159,179.345154
24.2,1.375250889,140.017361683,632287.66,-8.397427,179.345099
24.3,1.381440732,140.017334363,632287.083,-8.392695,179.345058
24.4,1.387630468,140.017307042,632286.443,-8.387962,179.345004
24.5,1.393820203,140.017266061,632285.867,-8.383228,179.344963
24.6,1.400010045,140.01723874,632285.291,-8.378494,179.344908
24.7,1.406199779,140.017211419,632284.654,-8.373759,179.344867
24.8,1.41238962,140.017184098,632284.079,-8.369024,179.344812
24.9,1.418579354,140.017143117,632283.504,-8.364288,179.344771
25.0,1.424769194,140.017115796,632282.868,-8.359551,179.34473
25.1,1.430958927,140.017088476,632282.295,-8.354815,179.344676
25.2,1.437148659,140.017061155,632281.722,-8.350077,179.344635
25.3,1.443338498,140.017020174,632281.087,-8.345339,179.34458
25.4,1.44952823,140.016992853,632280.515,-8.3406,179.344539
25.5,1.455718068,140.016965532,632279.944,-8.335861,179.344484
25.6,1.461907799,140.016938212,632279.373,-8.331122,179.344443
25.7,1.468097636,140.01689723,632278.74,-8.326381,179.344389
25.8,1.474287474,140.01686991,632278.171,-8.32164,179.344348
25.9,1.480477203,140.016842589,632277.601,-8.316899,179.344293
26.0,1.486666932,140.016815268,632277.032,-8.312156,179.344252
26.1,1.492856768,140.016774287,632276.402,-8.307413,179.344211
26.2,1.499046604,140.016746966,632275.834,-8.30267,179.344157
26.3,1.505236331,140.016719645,632275.266,-8.297926,179.344116
26.4,1.511426166,140.016692325,632274.7,-8.293182,179.344061
26.5,1.517616,140.016651344,632274.071,-8.288437,179.34402
26.6,1.523805727,140.016624023,632273.505,-8.283691,179.343965
26.7,1.52999556,140.016596702,632272.939,-8.278946,179.343924
26.8,1.536185393,140.016569381,632272.375,-8.274199,179.34387
26.9,1.542375118,140.0165284,632271.81,-8.269452,179.343829
27.0,1.54856495,140.016501079,632271.246,-8.264704,179.343774
27.1,1.554754782,140.016473759,632270.62,-8.259955,179.343733
