time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,0,9,178.103233332,8.882371986,10.451192265,47.712463990
385.370000000,38537,89.997547754,1,9,178.103236460,8.863750614,10.448676622,47.709951475
385.370000000,38537,89.997547754,2,9,178.103236624,8.869217368,10.448676512,47.709951530
385.370000000,38537,89.997547754,3,9,178.103236952,8.869202490,10.448676185,47.709951530
385.370000000,38537,89.997547754,4,9,178.103237116,8.863720908,10.448675967,47.709951476
385.370000000,38537,89.997547754,5,9,178.103236952,8.869202709,10.448676185,47.709951530
385.370000000,38537,89.997547754,6,9,178.103236624,8.869217586,10.448676512,47.709951530
385.370000000,38537,89.997547754,7,9,178.103246501,8.808258197,10.441127308,47.702412202
385.370000000,38537,89.997547754,8,9,178.103246589,8.815454020,10.441128095,47.702413077
385.370000000,38537,89.997547754,9,9,178.103246829,8.829893658,10.441127855,47.702413078
385.370000000,38537,89.997547754,10,9,178.103247157,8.837129573,10.441126654,47.702412205
385.370000000,38537,89.997547754,11,9,178.103247485,8.829864149,10.441127202,47.702413080
385.370000000,38537,89.997547754,12,9,178.103247725,8.815403132,10.441126963,47.702413081
385.370000000,38537,89.997547754,13,9,178.103247812,8.808199563,10.441126001,47.702412207
385.370000000,38537,89.997547754,14,9,178.103247725,8.815403381,10.441126963,47.702413081
385.370000000,38537,89.997547754,15,9,178.103247485,8.829864583,10.441127202,47.702413080
385.370000000,38537,89.997547754,16,9,178.103247157,8.837130075,10.441126654,47.702412204
385.370000000,38537,89.997547754,17,9,178.103246829,8.829894093,10.441127855,47.702413078
385.370000000,38537,89.997547754,18,9,178.103246589,8.815454270,10.441128094,47.702413077
385.370000000,38537,89.997547754,19,9,178.103263455,8.717068648,10.428539140,47.689840988
385.370000000,38537,89.997547754,20,9,178.103263514,8.724474022,10.428541521,47.689843429
385.370000000,38537,89.997547754,21,9,178.103263685,8.743305237,10.428544640,47.689846718
385.370000000,38537,89.997547754,22,9,178.103263947,8.764858156,10.428543081,47.689845421
385.370000000,38537,89.997547754,23,9,178.103264267,8.779001141,10.428539024,47.689841685
385.370000000,38537,89.997547754,24,9,178.103264609,8.778985912,10.428538685,47.689841687
385.370000000,38537,89.997547754,25,9,178.103264930,8.764814494,10.428542105,47.689845428
385.370000000,38537,89.997547754,26,9,178.103265191,8.743238781,10.428543144,47.689846729
385.370000000,38537,89.997547754,27,9,178.103265362,8.724392967,10.428539687,47.689843442
385.370000000,38537,89.997547754,28,9,178.103265422,8.716982585,10.428537187,47.689841002
385.370000000,38537,89.997547754,29,9,178.103265362,8.724393219,10.428539687,47.689843442
385.370000000,38537,89.997547754,30,9,178.103265191,8.743239255,10.428543144,47.689846729
385.370000000,38537,89.997547754,31,9,178.103264930,8.764815137,10.428542105,47.689845428
385.370000000,38537,89.997547754,32,9,178.103264609,8.778986645,10.428538685,47.689841687
385.370000000,38537,89.997547754,33,9,178.103264267,8.779001874,10.428539024,47.689841685
385.370000000,38537,89.997547754,34,9,178.103263947,8.764858799,10.428543081,47.689845421
385.370000000,38537,89.997547754,35,9,178.103263685,8.743305712,10.428544640,47.689846718
385.370000000,38537,89.997547754,36,9,178.103263514,8.724474274,10.428541521,47.689843429
385.370000000,38537,89.997547754,37,9,178.103287321,8.592040031,10.410903459,47.672229173
385.370000000,38537,89.997547754,38,9,178.103287366,8.599345211,10.410908087,47.672233846
