time_s	 sat_id	 beam_id	 throughput_mbps	 avg_delay_ms	 max_delay_ms	 dwell_time_ms	 slot_util_pct	 drop_rate_pct	 jain_fairness_index
10.503	 0     	 1      	 0.057127       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
10.503	 0     	 2      	 0.051414       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
11.006	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 1
11.006	 0     	 2      	 1.192843       	 10          	 10          	 240          	 79.166667    	 0            	 1
11.509	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
11.509	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
12.012	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
12.012	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
12.515	 0     	 1      	 1.312127       	 10          	 10          	 264          	 79.166667    	 1.785714     	 0.990099
12.515	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.990099
13.018	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
13.018	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
13.521	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 1
13.521	 0     	 2      	 1.192843       	 10          	 10          	 240          	 79.166667    	 0            	 1
14.024	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
14.024	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
14.527	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
14.527	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
15.03 	 0     	 1      	 1.312127       	 10          	 10          	 264          	 79.166667    	 1.785714     	 0.990099
15.03 	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.990099
15.533	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
15.533	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
16.036	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 0.997238
16.036	 0     	 2      	 1.073559       	 10          	 10          	 216          	 79.166667    	 0            	 0.997238
16.539	 0     	 1      	 1.192843       	 10          	 10          	 240          	 79.166667    	 1.960784     	 1
16.539	 0     	 2      	 1.192843       	 10          	 10          	 240          	 79.166667    	 0            	 1
