time_s	sat_id	beam_id	throughput_mbps	avg_delay_ms	max_delay_ms	dwell_time_ms	slot_util_pct	drop_rate_pct	jain_fairness_index
6.006	0	1	0	0	0	216	100	0	1
6.006	0	2	0	0	0	240	100	0	1
6.006	1	1	0	0	0	216	100	0	1
6.006	1	2	0	0	0	240	100	0	1
6.006	2	1	0	0	0	216	100	0	1
6.006	2	2	0	0	0	240	100	0	1
6.006	3	1	0	0	0	216	100	0	1
6.006	3	2	0	0	0	240	100	0	1
6.006	4	1	0	0	0	216	100	0	1
6.006	4	2	0	0	0	240	100	0	1
6.006	5	1	0	0	0	216	100	0	1
6.006	5	2	0	0	0	240	100	0	1
6.006	6	1	0	0	0	216	100	0	1
6.006	6	2	0	0	0	240	100	0	1
6.006	7	1	0	0	0	216	100	0	1
6.006	7	2	0	0	0	240	100	0	1
6.006	8	1	0	0	0	216	100	0	1
6.006	8	2	0	0	0	240	100	0	1
6.006	9	1	0	0	0	216	100	0	1
6.006	9	2	0	0	0	240	100	0	1
6.006	10	1	0	0	0	216	100	0	1
6.006	10	2	0	0	0	240	100	0	1
6.006	11	1	0	0	0	216	100	0	1
6.006	11	2	0	0	0	240	100	0	1
6.006	12	1	0	0	0	216	100	0	1
6.006	12	2	0	0	0	240	100	0	1
6.006	13	1	0	0	0	216	100	0	1
6.006	13	2	0	0	0	240	100	0	1
6.006	14	1	0	0	0	216	100	0	1
6.006	14	2	0	0	0	240	100	0	1
6.006	15	1	0	0	0	216	100	0	1
6.006	15	2	0	0	0	240	100	0	1
6.006	16	1	0	0	0	216	100	0	1
6.006	16	2	0	0	0	240	100	0	1
6.006	17	1	0	0	0	216	100	0	1
6.006	17	2	0	0	0	240	100	0	1
6.006	18	1	0	0	0	216	100	0	1
6.006	18	2	0	0	0	240	100	0	1
6.006	19	1	0	0	0	216	100	0	1
6.006	19	2	0	0	0	240	100	0	1
6.006	20	1	0	0	0	216	100	0	1
6.006	20	2	0	0	0	240	100	0	1
6.006	21	1	0	0	0	216	100	0	1
6.006	21	2	0	0	0	240	100	0	1
6.006	22	1	0	0	0	216	100	0	1
6.006	22	2	0	0	0	240	100	0	1
6.006	23	1	0	0	0	216	100	0	1
6.006	23	2	0	0	0	240	100	0	1
6.006	24	1	0	0	0	216	100	0	1
6.006	24	2	0	0	0	240	100	0	1
6.006	25	1	0	0	0	216	100	0	1
6.006	25	2	0	0	0	240	100	0	1
6.006	26	1	0	0	0	216	100	0	1
6.006	26	2	0	0	0	240	100	0	1
6.006	27	1	0	0	0	216	100	0	1
6.006	27	2	0	0	0	240	100	0	1
6.006	28	1	0	0	0	216	100	0	1
6.006	28	2	0	0	0	240	100	0	1
6.006	29	1	0	0	0	216	100	0	1
6.006	29	2	0	0	0	240	100	0	1
6.006	30	1	0	0	0	216	100	0	1
6.006	30	2	0	0	0	240	100	0	1
6.006	31	1	0	0	0	216	100	0	1
6.006	31	2	0	0	0	240	100	0	1
6.006	32	1	0	0	0	216	100	0	1
6.006	32	2	0	0	0	240	100	0	1
6.006	33	1	0	0	0	216	100	0	1
6.006	33	2	0	0	0	240	100	0	1
6.006	34	1	0	0	0	216	100	0	1
6.006	34	2	0	0	0	240	100	0	1
6.006	35	1	0	0	0	216	100	0	1
6.006	35	2	0	0	0	240	100	0	1
6.006	36	1	0	0	0	216	100	0	1
6.006	36	2	0	0	0	240	100	0	1
6.006	37	1	0	0	0	216	100	0	1
6.006	37	2	0	0	0	240	100	0	1
6.006	38	1	0	0	0	216	100	0	1
6.006	38	2	0	0	0	240	100	0	1
6.006	39	1	0	0	0	216	100	0	1
6.006	39	2	0	0	0	240	100	0	1
6.006	40	1	0	0	0	216	100	0	1
6.006	40	2	0	0	0	240	100	0	1
6.006	41	1	0	0	0	216	100	0	1
6.006	41	2	0	0	0	240	100	0	1
6.006	42	1	0	0	0	216	100	0	1
6.006	42	2	0	0	0	240	100	0	1
6.006	43	1	0	0	0	216	100	0	1
6.006	43	2	0	0	0	240	100	0	1
6.006	44	1	0	0	0	216	100	0	1
6.006	44	2	0	0	0	240	100	0	1
6.006	45	1	0	0	0	216	100	0	1
6.006	45	2	0	0	0	240	100	0	1
6.006	46	1	0	0	0	216	100	0	1
6.006	46	2	0	0	0	240	100	0	1
6.006	47	1	0	0	0	216	100	0	1
6.006	47	2	0	0	0	240	100	0	1
6.006	48	1	0	0	0	216	100	0	1
6.006	48	2	0	0	0	240	100	0	1
6.006	49	1	0	0	0	216	100	0	1
6.006	49	2	0	0	0	240	100	0	1
6.006	50	1	0	0	0	216	100	0	1
6.006	50	2	0	0	0	240	100	0	1
6.006	51	1	0	0	0	216	100	0	1
6.006	51	2	0	0	0	240	100	0	1
6.006	52	1	0	0	0	216	100	0	1
6.006	52	2	0	0	0	240	100	0	1
6.006	53	1	0	0	0	216	100	0	1
6.006	53	2	0	0	0	240	100	0	1
6.006	54	1	0	0	0	216	100	0	1
6.006	54	2	0	0	0	240	100	0	1
6.006	55	1	0	0	0	216	100	0	1
6.006	55	2	0	0	0	240	100	0	1
6.006	56	1	0	0	0	216	100	0	1
6.006	56	2	0	0	0	240	100	0	1
6.006	57	1	0	0	0	216	100	0	1
6.006	57	2	0	0	0	240	100	0	1
6.006	58	1	0	0	0	216	100	0	1
6.006	58	2	0	0	0	240	100	0	1
6.006	59	1	0	0	0	216	100	0	1
6.006	59	2	0	0	0	240	100	0	1
6.006	60	1	0	0	0	216	100	0	1
6.006	60	2	0	0	0	240	100	0	1
6.006	61	1	0	0	0	216	100	0	1
6.006	61	2	0	0	0	240	100	0	1
6.006	62	1	0	0	0	216	100	0	1
6.006	62	2	0	0	0	240	100	0	1
6.006	63	1	0	0	0	216	100	0	1
6.006	63	2	0	0	0	240	100	0	1
6.006	64	1	0	0	0	216	100	0	1
6.006	64	2	0	0	0	240	100	0	1
6.006	65	1	0	0	0	216	100	0	1
6.006	65	2	0	0	0	240	100	0	1
6.509	0	1	0	0	0	216	100	0	1
6.509	0	2	0	0	0	240	100	0	1
6.509	1	1	0	0	0	216	100	0	1
6.509	1	2	0	0	0	240	100	0	1
6.509	2	1	0	0	0	216	100	0	1
6.509	2	2	0	0	0	240	100	0	1
6.509	3	1	0	0	0	216	100	0	1
6.509	3	2	0	0	0	240	100	0	1
6.509	4	1	0	0	0	216	100	0	1
