slotIdx	startMs	durationMs	beamIds	beamPatterns	modcod	clusterIds
0	0	26	1	1:SMALL	5	1
1	26	26	2	2:SMALL	5	2
2	52	26	1	1:SMALL	5	1
3	78	26	2	2:SMALL	5	2
4	104	26	1	1:SMALL	5	1
5	130	26	2	2:SMALL	5	2
6	156	26	1	1:SMALL	5	1
7	182	26	2	2:SMALL	5	2
8	208	26	1	1:SMALL	5	1
9	234	26	2	2:SMALL	5	2
10	260	26	1	1:SMALL	5	1
11	286	26	2	2:SMALL	5	2
12	312	26	1	1:SMALL	5	1
13	338	26	2	2:SMALL	5	2
14	364	26	1	1:SMALL	5	1
15	390	26	2	2:SMALL	5	2
16	416	26	1	1:SMALL	5	1
17	442	26	2	2:SMALL	5	2
18	468	26	1	1:SMALL	5	1
