time_s	sat_id	beam_id	throughput_mbps	avg_delay_ms	max_delay_ms	dwell_time_ms	slot_util_pct	drop_rate_pct	jain_fairness_index
10.503	0	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	0	2	0.029639	20	20	456	37.5	0	0.754118
10.503	1	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	1	2	0.029639	20	20	456	37.5	0	0.754118
10.503	2	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	2	2	0.029639	20	20	456	37.5	0	0.754118
10.503	3	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	3	2	0.029639	20	20	456	37.5	0	0.754118
10.503	4	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	4	2	0.029639	20	20	456	37.5	0	0.754118
10.503	5	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	5	2	0.029639	20	20	456	37.5	0	0.754118
10.503	6	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	6	2	0.029639	20	20	456	37.5	0	0.754118
10.503	7	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	7	2	0.029639	20	20	456	37.5	0	0.754118
10.503	8	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	8	2	0.029639	20	20	456	37.5	0	0.754118
10.503	9	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	9	2	0.029639	20	20	456	37.5	0	0.754118
10.503	10	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	10	2	0.029639	20	20	456	37.5	0	0.754118
10.503	11	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	11	2	0.029639	20	20	456	37.5	0	0.754118
10.503	12	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	12	2	0.029639	20	20	456	37.5	0	0.754118
10.503	13	1	0.10854	10	10	456	79.166667	1.041667	0.754118
10.503	13	2	0.029639	20	20	456	37.5	0	0.754118
10.503	14	1	0.10854	10	10	456	79.166667	1.041667	0.754118
