slotIdx	startMs	durationMs	beamIds	beamPatterns	modcod	clusterIds			
0	0	26	1	2	1:SMALL	2:LARGE	5	1	2
1	26	26	1	2	1:SMALL	2:LARGE	5	1	2
2	52	26	1	2	1:SMALL	2:LARGE	5	1	2
3	78	26	1	2	1:SMALL	2:LARGE	5	1	2
4	104	26	1	2	1:SMALL	2:LARGE	5	1	2
5	130	26	1	2	1:SMALL	2:LARGE	5	1	2
6	156	26	1	2	1:SMALL	2:LARGE	5	1	2
7	182	26	1	2	1:SMALL	2:LARGE	5	1	2
8	208	26	1	2	1:SMALL	2:LARGE	5	1	2
9	234	26	1	2	1:SMALL	2:LARGE	5	1	2
10	260	26	1	2	1:SMALL	2:LARGE	5	1	2
11	286	26	1	2	1:SMALL	2:LARGE	5	1	2
12	312	26	1	2	1:SMALL	2:LARGE	5	1	2
13	338	26	1	2	1:SMALL	2:LARGE	5	1	2
14	364	26	1	2	1:SMALL	2:LARGE	5	1	2
15	390	26	1	2	1:SMALL	2:LARGE	5	1	2
16	416	26	1	2	1:SMALL	2:LARGE	5	1	2
17	442	26	1	2	1:SMALL	2:LARGE	5	1	2
18	468	26	1	2	1:SMALL	2:LARGE	5	1	2
