slotIdx,startMs,durationMs,beamIds,beamPatterns,modcod,clusterIds
0,0,26,1;4,1:SMALL;4:LARGE,5,1;4
1,26,26,2;5,2:SMALL;5:LARGE,5,2;5
2,52,26,3;6,3:SMALL;6:LARGE,5,3;6
3,78,26,1;7,1:SMALL;7:LARGE,5,1;7
4,104,26,2;4,2:SMALL;4:LARGE,5,2;4
5,130,26,3;5,3:SMALL;5:LARGE,5,3;5
6,156,26,1;6,1:SMALL;6:LARGE,5,1;6
7,182,26,2;7,2:SMALL;7:LARGE,5,2;7
8,208,26,3;4,3:SMALL;4:LARGE,5,3;4
9,234,26,1;5,1:SMALL;5:LARGE,5,1;5
10,260,26,2;6,2:SMALL;6:LARGE,5,2;6
11,286,26,3;7,3:SMALL;7:LARGE,5,3;7
12,312,26,1;4,1:SMALL;4:LARGE,5,1;4
13,338,26,2;5,2:SMALL;5:LARGE,5,2;5
14,364,26,3;6,3:SMALL;6:LARGE,5,3;6
15,390,26,1;7,1:SMALL;7:LARGE,5,1;7
16,416,26,2;4,2:SMALL;4:LARGE,5,2;4
17,442,26,3;5,3:SMALL;5:LARGE,5,3;5
18,468,26,1;6,1:SMALL;6:LARGE,5,1;6
