slotIdx,startMs,durationMs,beamIds,beamPatterns,modcod,clusterIds
0,0,26,1;4,1:SMALL;4:LARGE,5,1;4
1,26,26,2;5,2:SMALL;5:LARGE,5,2;5
2,52,26,3;6,3:SMALL;6:LARGE,5,3;6
3,78,26,1;7,1:SMALL;7:LARGE,5,1;7
4,104,26,2;8,2:SMALL;8:LARGE,5,2;8
5,130,26,3;9,3:SMALL;9:LARGE,5,3;9
6,156,26,1;10,1:SMALL;10:LARGE,5,1;10
7,182,26,2;11,2:SMALL;11:LARGE,5,2;11
8,208,26,3;12,3:SMALL;12:LARGE,5,3;12
9,234,26,1;13,1:SMALL;13:LARGE,5,1;13
10,260,26,2;14,2:SMALL;14:LARGE,5,2;14
11,286,26,3;15,3:SMALL;15:LARGE,5,3;15
12,312,26,1;16,1:SMALL;16:LARGE,5,1;16
13,338,26,2;17,2:SMALL;17:LARGE,5,2;17
14,364,26,3;18,3:SMALL;18:LARGE,5,3;18
15,390,26,1;19,1:SMALL;19:LARGE,5,1;19
16,416,26,2;20,2:SMALL;20:LARGE,5,2;20
17,442,26,3;21,3:SMALL;21:LARGE,5,3;21
18,468,26,1;22,1:SMALL;22:LARGE,5,1;22
