slotIdx,startMs,durationMs,beamIds,beamPatterns,modcod,clusterIds
0,0,26,1;6;2;7,1:SMALL;6:LARGE;2:SMALL;7:LARGE,5,1;6;2;7
1,26,26,2;8;3;9,2:SMALL;8:LARGE;3:SMALL;9:LARGE,5,2;8;3;9
2,52,26,3;10;4;11,3:SMALL;10:LARGE;4:SMALL;11:LARGE,5,3;10;4;11
3,78,26,4;12;5;13,4:SMALL;12:LARGE;5:SMALL;13:LARGE,5,4;12;5;13
4,104,26,5;14;1;15,5:SMALL;14:LARGE;1:SMALL;15:LARGE,5,5;14;1;15
5,130,26,1;16;2;17,1:SMALL;16:LARGE;2:SMALL;17:LARGE,5,1;16;2;17
6,156,26,2;18;3;19,2:SMALL;18:LARGE;3:SMALL;19:LARGE,5,2;18;3;19
7,182,26,3;20;4;21,3:SMALL;20:LARGE;4:SMALL;21:LARGE,5,3;20;4;21
8,208,26,4;22;5;23,4:SMALL;22:LARGE;5:SMALL;23:LARGE,5,4;22;5;23
9,234,26,5;24;1;25,5:SMALL;24:LARGE;1:SMALL;25:LARGE,5,5;24;1;25
10,260,26,1;6;2;7,1:SMALL;6:LARGE;2:SMALL;7:LARGE,5,1;6;2;7
11,286,26,2;8;3;9,2:SMALL;8:LARGE;3:SMALL;9:LARGE,5,2;8;3;9
12,312,26,3;10;4;11,3:SMALL;10:LARGE;4:SMALL;11:LARGE,5,3;10;4;11
13,338,26,4;12;5;13,4:SMALL;12:LARGE;5:SMALL;13:LARGE,5,4;12;5;13
14,364,26,5;14;1;15,5:SMALL;14:LARGE;1:SMALL;15:LARGE,5,5;14;1;15
15,390,26,1;16;2;17,1:SMALL;16:LARGE;2:SMALL;17:LARGE,5,1;16;2;17
16,416,26,2;18;3;19,2:SMALL;18:LARGE;3:SMALL;19:LARGE,5,2;18;3;19
17,442,26,3;20;4;21,3:SMALL;20:LARGE;4:SMALL;21:LARGE,5,3;20;4;21
18,468,26,4;22;5;23,4:SMALL;22:LARGE;5:SMALL;23:LARGE,5,4;22;5;23
