slotIdx	 startMs	 durationMs	 beamIds	 beamRadius	 modcod	 clusterIds	  	 
      0	       0	         26	       1	          4	 SMALL 	          5	 1	 4
      1	      26	         26	       2	          5	 SMALL 	          5	 2	 5
      2	      52	         26	       3	          6	 SMALL 	          5	 3	 6
      3	      78	         26	       1	          7	 SMALL 	          5	 1	 7
      4	     104	         26	       2	          4	 SMALL 	          5	 2	 4
      5	     130	         26	       3	          5	 SMALL 	          5	 3	 5
      6	     156	         26	       1	          6	 SMALL 	          5	 1	 6
      7	     182	         26	       2	          7	 SMALL 	          5	 2	 7
      8	     208	         26	       3	          4	 SMALL 	          5	 3	 4
      9	     234	         26	       1	          5	 SMALL 	          5	 1	 5
     10	     260	         26	       2	          6	 SMALL 	          5	 2	 6
     11	     286	         26	       3	          7	 SMALL 	          5	 3	 7
     12	     312	         26	       1	          4	 SMALL 	          5	 1	 4
     13	     338	         26	       2	          5	 SMALL 	          5	 2	 5
     14	     364	         26	       3	          6	 SMALL 	          5	 3	 6
     15	     390	         26	       1	          7	 SMALL 	          5	 1	 7
     16	     416	         26	       2	          4	 SMALL 	          5	 2	 4
     17	     442	         26	       3	          5	 SMALL 	          5	 3	 5
     18	     468	         26	       1	          6	 SMALL 	          5	 1	 6
