time_s	sat_id	beam_id	throughput_mbps	avg_delay_ms	max_delay_ms	dwell_time_ms	slot_util_pct	drop_rate_pct	jain_fairness_index
10.503	0	1	0.039989	10	10	168	79.166667	2.777778	0.654079
10.503	0	2	0.034276	10	10	144	79.166667	0	0.654079
10.503	0	3	0.034276	10	10	144	79.166667	0	0.654079
10.503	0	4	0.0078	20	20	120	37.5	0	0.654079
10.503	0	5	0.0078	20	20	120	37.5	0	0.654079
10.503	0	6	0.0078	20	20	120	37.5	0	0.654079
10.503	0	7	0.00624	20	20	96	37.5	0	0.654079
11.006	0	1	0.83499	10	10	168	79.166667	2.777778	0.654009
11.006	0	2	0.715706	10	10	144	79.166667	0	0.654009
11.006	0	3	0.83499	10	10	168	79.166667	0	0.654009
11.006	0	4	0.162863	20	20	120	37.5	0	0.654009
11.006	0	5	0.195435	20	20	144	37.5	0	0.654009
11.006	0	6	0.162863	20	20	120	37.5	0	0.654009
11.006	0	7	0.13029	20	20	96	37.5	0	0.654009
11.509	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
11.509	0	2	0.715706	10	10	144	79.166667	0	0.654079
11.509	0	3	0.715706	10	10	144	79.166667	0	0.654079
11.509	0	4	0.162863	20	20	120	37.5	0	0.654079
11.509	0	5	0.162863	20	20	120	37.5	0	0.654079
11.509	0	6	0.162863	20	20	120	37.5	0	0.654079
11.509	0	7	0.13029	20	20	96	37.5	0	0.654079
12.012	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
12.012	0	2	0.715706	10	10	144	79.166667	0	0.654079
12.012	0	3	0.715706	10	10	144	79.166667	0	0.654079
12.012	0	4	0.162863	20	20	120	37.5	0	0.654079
12.012	0	5	0.162863	20	20	120	37.5	0	0.654079
12.012	0	6	0.162863	20	20	120	37.5	0	0.654079
12.012	0	7	0.13029	20	20	96	37.5	0	0.654079
12.515	0	1	0.954274	10	10	192	79.166667	2.439024	0.6449
12.515	0	2	0.715706	10	10	144	79.166667	0	0.6449
12.515	0	3	0.715706	10	10	144	79.166667	0	0.6449
12.515	0	4	0.162863	20	20	120	37.5	0	0.6449
12.515	0	5	0.162863	20	20	120	37.5	0	0.6449
12.515	0	6	0.195435	20	20	144	37.5	0	0.6449
12.515	0	7	0.13029	20	20	96	37.5	0	0.6449
13.018	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
13.018	0	2	0.715706	10	10	144	79.166667	0	0.654079
13.018	0	3	0.715706	10	10	144	79.166667	0	0.654079
13.018	0	4	0.162863	20	20	120	37.5	0	0.654079
13.018	0	5	0.162863	20	20	120	37.5	0	0.654079
13.018	0	6	0.162863	20	20	120	37.5	0	0.654079
13.018	0	7	0.13029	20	20	96	37.5	0	0.654079
13.521	0	1	0.83499	10	10	168	79.166667	2.777778	0.654698
13.521	0	2	0.83499	10	10	168	79.166667	0	0.654698
13.521	0	3	0.715706	10	10	144	79.166667	0	0.654698
13.521	0	4	0.162863	20	20	120	37.5	0	0.654698
13.521	0	5	0.162863	20	20	120	37.5	0	0.654698
13.521	0	6	0.162863	20	20	120	37.5	0	0.654698
13.521	0	7	0.162863	20	20	120	37.5	0	0.654698
14.024	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
14.024	0	2	0.715706	10	10	144	79.166667	0	0.654079
14.024	0	3	0.715706	10	10	144	79.166667	0	0.654079
14.024	0	4	0.162863	20	20	120	37.5	0	0.654079
14.024	0	5	0.162863	20	20	120	37.5	0	0.654079
14.024	0	6	0.162863	20	20	120	37.5	0	0.654079
14.024	0	7	0.13029	20	20	96	37.5	0	0.654079
14.527	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
14.527	0	2	0.715706	10	10	144	79.166667	0	0.654079
14.527	0	3	0.715706	10	10	144	79.166667	0	0.654079
14.527	0	4	0.162863	20	20	120	37.5	0	0.654079
14.527	0	5	0.162863	20	20	120	37.5	0	0.654079
14.527	0	6	0.162863	20	20	120	37.5	0	0.654079
14.527	0	7	0.13029	20	20	96	37.5	0	0.654079
15.03	0	1	0.83499	10	10	168	79.166667	2.777778	0.654009
15.03	0	2	0.715706	10	10	144	79.166667	0	0.654009
15.03	0	3	0.83499	10	10	168	79.166667	0	0.654009
15.03	0	4	0.195435	20	20	144	37.5	0	0.654009
15.03	0	5	0.162863	20	20	120	37.5	0	0.654009
15.03	0	6	0.162863	20	20	120	37.5	0	0.654009
15.03	0	7	0.13029	20	20	96	37.5	0	0.654009
15.533	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
15.533	0	2	0.715706	10	10	144	79.166667	0	0.654079
15.533	0	3	0.715706	10	10	144	79.166667	0	0.654079
15.533	0	4	0.162863	20	20	120	37.5	0	0.654079
15.533	0	5	0.162863	20	20	120	37.5	0	0.654079
15.533	0	6	0.162863	20	20	120	37.5	0	0.654079
15.533	0	7	0.13029	20	20	96	37.5	0	0.654079
16.036	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
16.036	0	2	0.715706	10	10	144	79.166667	0	0.654079
16.036	0	3	0.715706	10	10	144	79.166667	0	0.654079
16.036	0	4	0.162863	20	20	120	37.5	0	0.654079
16.036	0	5	0.162863	20	20	120	37.5	0	0.654079
16.036	0	6	0.162863	20	20	120	37.5	0	0.654079
16.036	0	7	0.13029	20	20	96	37.5	0	0.654079
16.539	0	1	0.954274	10	10	192	79.166667	2.439024	0.6449
16.539	0	2	0.715706	10	10	144	79.166667	0	0.6449
16.539	0	3	0.715706	10	10	144	79.166667	0	0.6449
16.539	0	4	0.162863	20	20	120	37.5	0	0.6449
16.539	0	5	0.195435	20	20	144	37.5	0	0.6449
16.539	0	6	0.162863	20	20	120	37.5	0	0.6449
16.539	0	7	0.13029	20	20	96	37.5	0	0.6449
17.042	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
17.042	0	2	0.715706	10	10	144	79.166667	0	0.654079
17.042	0	3	0.715706	10	10	144	79.166667	0	0.654079
17.042	0	4	0.162863	20	20	120	37.5	0	0.654079
17.042	0	5	0.162863	20	20	120	37.5	0	0.654079
17.042	0	6	0.162863	20	20	120	37.5	0	0.654079
17.042	0	7	0.13029	20	20	96	37.5	0	0.654079
17.545	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
17.545	0	2	0.715706	10	10	144	79.166667	0	0.654079
17.545	0	3	0.715706	10	10	144	79.166667	0	0.654079
17.545	0	4	0.162863	20	20	120	37.5	0	0.654079
17.545	0	5	0.162863	20	20	120	37.5	0	0.654079
17.545	0	6	0.162863	20	20	120	37.5	0	0.654079
17.545	0	7	0.13029	20	20	96	37.5	0	0.654079
18.048	0	1	0.83499	10	10	168	79.166667	2.777778	0.654009
18.048	0	2	0.83499	10	10	168	79.166667	0	0.654009
18.048	0	3	0.715706	10	10	144	79.166667	0	0.654009
18.048	0	4	0.162863	20	20	120	37.5	0	0.654009
18.048	0	5	0.162863	20	20	120	37.5	0	0.654009
18.048	0	6	0.195435	20	20	144	37.5	0	0.654009
18.048	0	7	0.13029	20	20	96	37.5	0	0.654009
18.551	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
18.551	0	2	0.715706	10	10	144	79.166667	0	0.654079
18.551	0	3	0.715706	10	10	144	79.166667	0	0.654079
18.551	0	4	0.162863	20	20	120	37.5	0	0.654079
18.551	0	5	0.162863	20	20	120	37.5	0	0.654079
18.551	0	6	0.162863	20	20	120	37.5	0	0.654079
18.551	0	7	0.13029	20	20	96	37.5	0	0.654079
19.054	0	1	0.83499	10	10	168	79.166667	2.777778	0.654079
19.054	0	2	0.715706	10	10	144	79.166667	0	0.654079
19.054	0	3	0.715706	10	10	144	79.166667	0	0.654079
19.054	0	4	0.162863	20	20	120	37.5	0	0.654079
19.054	0	5	0.162863	20	20	120	37.5	0	0.654079
19.054	0	6	0.162863	20	20	120	37.5	0	0.654079
19.054	0	7	0.13029	20	20	96	37.5	0	0.654079
19.557	0	1	0.83499	10	10	168	79.166667	2.777778	0.654698
19.557	0	2	0.715706	10	10	144	79.166667	0	0.654698
19.557	0	3	0.83499	10	10	168	79.166667	0	0.654698
